room_a,room_b,plan_digest
SV5_INFILL_ROOM_0004120110f44eef5c72,SV5_INFILL_ROOM_01fd763216564c4ab82e,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0004120110f44eef5c72,SV5_INFILL_ROOM_07af10cb4acde894de2d,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0017896242681bbba695,SV5_INFILL_ROOM_00e883e8005721574f5b,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0017896242681bbba695,SV5_INFILL_ROOM_01ab2e7fdecd01da9567,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0024793eb465e7cf43f8,SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0024793eb465e7cf43f8,SV5_INFILL_ROOM_02131663b956c4b63225,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_002847beba22c27fafc7,SV5_INFILL_ROOM_05300313b23b3b52092c,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_002b1fdb38d3b5d62912,SV5_INFILL_ROOM_003c64be23db80287d41,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0033f24aa202678fd527,SV5_INFILL_ROOM_04306d96a9442be86a73,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0038cd07afe0acfefffa,SV5_INFILL_ROOM_018765724e6a988ed29c,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0038cd07afe0acfefffa,SV5_INFILL_ROOM_062bdedbace97bb71fc4,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_004a21fe679a80497ef7,SV5_INFILL_ROOM_0315a5303806deccb68e,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_004a21fe679a80497ef7,SV5_INFILL_ROOM_0721ca040a4fb03db0b5,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0058509cbbf5ecd5a28e,SV5_INFILL_ROOM_062bdedbace97bb71fc4,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_005a04bda9ede05b1190,SV5_INFILL_ROOM_055856717f4139baf16b,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_005e769b555b56fe007d,SV5_INFILL_ROOM_04411f6d27775360dabd,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0074c7f66d6a87c31d5f,SV5_INFILL_ROOM_02310f3878fc359b92be,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_007c17890d68e31350a9,SV5_INFILL_ROOM_00e46d5d0ba666a9579a,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_007c17890d68e31350a9,SV5_INFILL_ROOM_12b7e28ceac0decd5997,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0081ac017846ab0e0d78,SV5_INFILL_ROOM_0193b889fad304bdfe2d,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0081ac017846ab0e0d78,SV5_INFILL_ROOM_0d6757c798ece8ef8ef4,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_00935d046d479aecb80d,SV5_INFILL_ROOM_00a7e77543f9bf76279e,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_00935d046d479aecb80d,SV5_INFILL_ROOM_0a31f8299bcf4e6b93c9,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0093b9c559d99efd34f8,SV5_INFILL_ROOM_03514fe3df18dd932b15,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0093b9c559d99efd34f8,SV5_INFILL_ROOM_077c8203eda478d84a8a,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_0096ec3a665cb4efc92b,SV5_INFILL_ROOM_02515634e73d42bbbebe,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_009ef3f64388d61dce55,SV5_INFILL_ROOM_0233efc146f9a48950d8,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_009ef3f64388d61dce55,SV5_INFILL_ROOM_04683155dc682c4ccd05,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_INFILL_ROOM_00a7e77543f9bf76279e,SV5_INFILL_ROOM_06d7a128bf1180015fa4,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
