sidepath_id,x,y,source_value,final_value,role,plan_digest
SV5_SIDE_0cb62cb345805a17bb7e,94,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,95,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,96,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,102,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,103,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,104,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,105,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,111,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,112,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,113,254,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,94,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,95,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,96,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,97,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,98,255,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,99,255,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,100,255,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,101,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,102,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,103,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,104,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,105,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,106,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,107,255,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,108,255,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,109,255,UNKNOWN,SOLID,SOLIDSUPPORT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,110,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,111,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,112,255,UNKNOWN,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,113,255,SOLID,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,114,255,SOLID,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,115,255,SOLID,AIR,AIR,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,94,256,UNKNOWN,AIR,HEADROOM,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,95,256,UNKNOWN,AIR,HEADROOM,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,96,256,UNKNOWN,AIR,HEADROOM,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
