sidepath_id,type,from_endpoint,to_endpoint,from_room,to_room,space_group_id,connection_id,length,direction_changes,newly_carved_air,rejoins,returnable,random_shortcut,baseline_cost,final_cost,bypass_count,legal_states,resource_orders,midpoint_x,midpoint_y,ordered_centerline,plan_digest
SV5_SIDE_0cb62cb345805a17bb7e,SIDE_PATH_DEAD_END,EP_70b5e6a6a24ac37f72b73205,,SV5_INFILL_ROOM_06b5e74710bf880c80b2,,SV5_OPTIONAL_11,SV5_OPTIONAL_11,27,8,26,false,false,false,-1,27,0,9,6,105,255,116:255;115:255;114:255;113:255;112:255;111:255;110:255;110:256;109:256;108:256;107:256;106:256;106:255;105:255;104:255;103:255;102:255;101:255;101:256;100:256;99:256;98:256;97:256;97:255;96:255;95:255;94:255,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_1495e09068e8c426e9e6,SIDE_PATH_DEAD_END,EP_c25448d52af12d78332e41d7,,SV5_INFILL_ROOM_00636997b68d562b57db,,SV5_OPTIONAL_07,SV5_OPTIONAL_07,27,8,26,false,false,false,-1,27,0,9,6,161,101,172:101;171:101;170:101;169:101;168:101;167:101;166:101;166:102;165:102;164:102;163:102;162:102;162:101;161:101;160:101;159:101;158:101;157:101;157:102;156:102;155:102;154:102;153:102;153:101;152:101;151:101;150:101,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_31a75146ffcc4dc21d78,SIDE_PATH_RETURNING,EP_c38c9bd64c164b309b4167d8,EP_87a7b974c2adf91497bbeb42,SV5_INFILL_ROOM_03457115457eb0b59c96,SV5_INFILL_ROOM_03e607e34238c975c8c8,SV5_OPTIONAL_09,SV5_OPTIONAL_09,27,6,25,true,true,false,-1,27,0,9,6,65,167,53:168;54:168;55:168;56:168;57:168;58:168;59:168;59:167;60:167;61:167;62:167;63:167;64:167;65:167;65:166;66:166;67:166;68:166;69:166;70:166;70:167;71:167;72:167;73:167;74:167;75:167;76:167,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_336f2a8c1afc9d65c169,SIDE_PATH_RETURNING,EP_2bc55a7c8e8f9dd08c07ba99,EP_428d0e7ca2d21bc4db6cfcff,SV5_INFILL_ROOM_00935d046d479aecb80d,SV5_INFILL_ROOM_09beaf6f785387326af3,SV5_OPTIONAL_10,SV5_OPTIONAL_10,35,4,33,true,true,false,-1,35,0,9,6,96,234,80:235;81:235;82:235;83:235;84:235;85:235;86:235;87:235;88:235;89:235;90:235;91:235;91:234;92:234;93:234;94:234;95:234;96:234;97:234;98:234;99:234;100:234;101:234;101:235;102:235;103:235;104:235;105:235;106:235;107:235;108:235;109:235;110:235;111:235;112:235,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_37496acd145494f3b8f1,SIDE_PATH_RETURNING,EP_231afccd882d78b3e276b91a,EP_9eea8744e06e52968607cacc,SV5_INFILL_ROOM_02131663b956c4b63225,SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb,SV5_OPTIONAL_06,SV5_OPTIONAL_06,27,6,25,true,true,false,-1,27,0,9,6,173,11,161:12;162:12;163:12;164:12;165:12;166:12;167:12;167:11;168:11;169:11;170:11;171:11;172:11;173:11;173:10;174:10;175:10;176:10;177:10;178:10;178:11;179:11;180:11;181:11;182:11;183:11;184:11,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_45703ee74904f9be8856,SIDE_PATH_RETURNING,EP_0f801cb497e0c6057dbc2f1e,EP_cf580a27082cf48a9194f232,SV5_INFILL_ROOM_0081ac017846ab0e0d78,SV5_INFILL_ROOM_046863d4c69cd86e081e,SV5_OPTIONAL_04,SV5_OPTIONAL_04,27,4,25,true,true,false,-1,27,0,9,6,508,74,496:75;497:75;498:75;499:75;500:75;501:75;502:75;503:75;504:75;504:74;505:74;506:74;507:74;508:74;509:74;510:74;511:74;512:74;512:75;513:75;514:75;515:75;516:75;517:75;518:75;519:75;520:75,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_49b2922afa408271f9d8,SIDE_PATH_RETURNING,EP_0c207c52b7c64d4f9fbe0432,EP_0bea4b2e5f109d83caa1952b,SV5_INFILL_ROOM_0f8b0d9ffd48309ac358,SV5_INFILL_ROOM_16ef78d2a7097c01be03,SV5_OPTIONAL_02,SV5_OPTIONAL_02,27,4,25,true,true,false,-1,27,0,9,6,492,368,480:367;481:367;482:367;483:367;484:367;485:367;486:367;487:367;488:367;488:368;489:368;490:368;491:368;492:368;493:368;494:368;495:368;496:368;496:367;497:367;498:367;499:367;500:367;501:367;502:367;503:367;504:367,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_85c0be8e6f9f1bcdea0d,SIDE_PATH_DEAD_END,EP_2fb34ae30af7f36497014cf5,,SV5_INFILL_ROOM_05300313b23b3b52092c,,SV5_OPTIONAL_00,SV5_OPTIONAL_00,27,8,26,false,false,false,-1,27,0,9,6,413,352,424:352;423:352;422:352;421:352;420:352;419:352;418:352;418:353;417:353;416:353;415:353;414:353;414:352;413:352;412:352;411:352;410:352;409:352;409:353;408:353;407:353;406:353;405:353;405:352;404:352;403:352;402:352,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_8e6109d14008fc53f949,SIDE_PATH_RETURNING,EP_712bc8ec079f9332ec4d373c,EP_55d83407325206f9796abb67,SV5_INFILL_ROOM_0a107f903c1e96b3791e,SV5_INFILL_ROOM_01dff27f34909d8482fd,SV5_OPTIONAL_12,SV5_OPTIONAL_12,31,4,29,true,true,false,-1,31,0,9,6,285,346,271:347;272:347;273:347;274:347;275:347;276:347;277:347;278:347;279:347;280:347;281:347;281:346;282:346;283:346;284:346;285:346;286:346;287:346;288:346;289:346;290:346;290:347;291:347;292:347;293:347;294:347;295:347;296:347;297:347;298:347;299:347,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_8e9a6d2b73e2ee7f49a3,SIDE_PATH_RETURNING,EP_b5ad4af227c5cf8bdd951558,EP_25b62f137c4a53af21b5a351,SV5_INFILL_ROOM_041cc40ca34ac9669c39,SV5_INFILL_ROOM_05ca1ce41aa5fccf5e3e,SV5_OPTIONAL_08,SV5_OPTIONAL_08,31,4,29,true,true,false,-1,31,0,9,6,82,82,68:83;69:83;70:83;71:83;72:83;73:83;74:83;75:83;76:83;77:83;78:83;78:82;79:82;80:82;81:82;82:82;83:82;84:82;85:82;86:82;87:82;87:83;88:83;89:83;90:83;91:83;92:83;93:83;94:83;95:83;96:83,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_f194fe84c21dfea14cfd,SIDE_PATH_DEAD_END,EP_042267865f7b8e89348e7185,,SV5_INFILL_ROOM_41d8d12437f0a0253f28,,SV5_OPTIONAL_03,SV5_OPTIONAL_03,27,8,26,false,false,false,-1,27,0,9,6,611,248,600:248;601:248;602:248;603:248;604:248;605:248;606:248;606:249;607:249;608:249;609:249;610:249;610:248;611:248;612:248;613:248;614:248;615:248;615:249;616:249;617:249;618:249;619:249;619:248;620:248;621:248;622:248,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_f1fa3804c54b295f484f,SIDE_PATH_RETURNING,EP_9da3fb64a13e416b94c737e6,EP_d461d9c5cb0db8102ac4df76,SV5_INFILL_ROOM_0233efc146f9a48950d8,SV5_INFILL_ROOM_04683155dc682c4ccd05,SV5_OPTIONAL_01,SV5_OPTIONAL_01,29,12,27,true,true,false,-1,29,0,9,6,474,384,463:383;464:383;465:383;466:383;467:383;467:382;468:382;469:382;470:382;470:383;471:383;472:383;473:383;473:384;474:384;475:384;476:384;476:385;477:385;478:385;479:385;479:386;480:386;481:386;482:386;482:387;483:387;484:387;485:387,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
