room_a,room_b,plan_digest
SV5_INFILL_ROOM_0004120110f44eef5c72,SV5_INFILL_ROOM_01fd763216564c4ab82e,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_0004120110f44eef5c72,SV5_INFILL_ROOM_07af10cb4acde894de2d,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_0009256b2ee54633b586,SV5_INFILL_ROOM_0ca00de1852445b16dcc,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_0024793eb465e7cf43f8,SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_0024793eb465e7cf43f8,SV5_INFILL_ROOM_02131663b956c4b63225,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_002847beba22c27fafc7,SV5_INFILL_ROOM_05300313b23b3b52092c,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_002b1fdb38d3b5d62912,SV5_INFILL_ROOM_003c64be23db80287d41,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_002d3e65ad37c08fccde,SV5_INFILL_ROOM_09edbb024af8e2bb536d,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_002d3e65ad37c08fccde,SV5_INFILL_ROOM_c2da6dab2de50b0a12bc,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_0033f24aa202678fd527,SV5_INFILL_ROOM_04306d96a9442be86a73,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_0038cd07afe0acfefffa,SV5_INFILL_ROOM_018765724e6a988ed29c,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_INFILL_ROOM_0038cd07afe0acfefffa,SV5_INFILL_ROOM_062bdedbace97bb71fc4,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
