endpoint_id,room_id,space_group_id,connection_id,port_id,micro_pattern_owner,x,y,exit_x,stable_hash,plan_digest
EP_7e6a63e44c6aefb339ddc118,SV5_INFILL_ROOM_0185002ddaf865f0355b,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_0185002ddaf865f0355b:DEAD_END,19,135,1,41a2a8eac681a974d3993e029e3a0db10351654f37660f74bf693c4c67236cef,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_b35144ee24245ae94f97385d,SV5_INFILL_ROOM_0eaf7a838d77541f94b1,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_0eaf7a838d77541f94b1:DEAD_END,19,171,1,9b029c043e8e04522efa044bf8d8837992da9b32014f7d58d9d3e16ca8f93282,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_538eccb3eef85ca0ce66c7ef,SV5_INFILL_ROOM_220f9ac2dcdf86c3e8d0,SV5_OPTIONAL_14,SV5_OPTIONAL_14,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_220f9ac2dcdf86c3e8d0:DEAD_END,19,339,1,ed5f9ecd7f9f7f996a1a41a62b4c31b0c35cf8f51d1ebec447cb2ca86b0d9b1a,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_4cc006fcb8ed0423ca4f0db9,SV5_INFILL_ROOM_25052f4dc79f3d703bac,SV5_OPTIONAL_14,SV5_OPTIONAL_14,SV5_PLACE_04_CB2B17D440D58981_PORT_OUT,SV5_INFILL_ROOM_25052f4dc79f3d703bac:EMPTY_ROOM,19,375,1,7de39180ca47cffef984f7f13ef71a444f3e403b28ce18267c04f1ebc9d28a0c,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_7abc834d871449964bd77604,SV5_INFILL_ROOM_c2da6dab2de50b0a12bc,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_c2da6dab2de50b0a12bc_LINK:CONNECTOR,20,191,1,3588b6258328b864a1f71937a21e06e5531089027a3c12df210fd78eda02a1f2,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_2ecc718f1f39730b591a0883,SV5_INFILL_ROOM_2ce7d4a9aa467ee54218,SV5_OPTIONAL_10,SV5_OPTIONAL_10,SV5_PLACE_12_391D0CF7A4422180_PORT_OUT,SV5_INFILL_ROOM_2ce7d4a9aa467ee54218_LINK:CONNECTOR,20,207,1,fe0fb3cdfb44a11427026e504c6203ec8d477070a2ee963ca4dc1652eb43ca12,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_45e8f3084590221755ac25da,SV5_INFILL_ROOM_14ba504102951d122e14,SV5_OPTIONAL_15,SV5_OPTIONAL_15,SV5_PLACE_16_1B9B7A51A39C0013_PORT_IN,SV5_INFILL_ROOM_14ba504102951d122e14_LINK:CONNECTOR,20,239,1,9b4e706d68a0d19e13ca78a38d556026727491fdb55c13432c6e6385736fbf0f,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_3901a264da35e0a127b05618,SV5_INFILL_ROOM_034e96ec4b59b2e7de89,SV5_OPTIONAL_14,SV5_OPTIONAL_14,SV5_PLACE_04_CB2B17D440D58981_PORT_OUT,SV5_INFILL_ROOM_034e96ec4b59b2e7de89_LINK:CONNECTOR,20,355,1,8b8aadeb67b83594910fa2f4bed8935b39aa168ea22c427a67a82854a664ffd4,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_930ef357bd6973d7805ae7f2,SV5_INFILL_ROOM_c2da6dab2de50b0a12bc,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_c2da6dab2de50b0a12bc_LINK:CONNECTOR,21,192,-1,55c893e07c7dd6e8589fcb8c83ee2b904a0ab1c5e253e294f2d9988063aa1b5e,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_94cf2e537c7af1f89a5dbf6b,SV5_INFILL_ROOM_c2da6dab2de50b0a12bc,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_c2da6dab2de50b0a12bc_LINK:CONNECTOR,21,192,1,02772466d71c794c2e051e1f8493673115a78329958f0254185c0330a16d7090,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_1196af74981fe6ff75000e15,SV5_INFILL_ROOM_2ce7d4a9aa467ee54218,SV5_OPTIONAL_10,SV5_OPTIONAL_10,SV5_PLACE_12_391D0CF7A4422180_PORT_OUT,SV5_INFILL_ROOM_2ce7d4a9aa467ee54218_LINK:CONNECTOR,21,208,-1,2fb202ebacb78dc31809b491c74c801afd4a789b735ba13dd481bd2c7e170b3e,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_6605605a4464e0dc46c79fb8,SV5_INFILL_ROOM_2ce7d4a9aa467ee54218,SV5_OPTIONAL_10,SV5_OPTIONAL_10,SV5_PLACE_12_391D0CF7A4422180_PORT_OUT,SV5_INFILL_ROOM_2ce7d4a9aa467ee54218_LINK:CONNECTOR,21,208,1,881f730181b74d95129561cf2c43e78feb57f58eb949705860f77faa6bd3ca29,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_657443d80ba70de19d5b8e7f,SV5_INFILL_ROOM_14ba504102951d122e14,SV5_OPTIONAL_15,SV5_OPTIONAL_15,SV5_PLACE_16_1B9B7A51A39C0013_PORT_IN,SV5_INFILL_ROOM_14ba504102951d122e14_LINK:CONNECTOR,21,240,-1,23cdd6f63f3909c0e64aba0cf7e854416d550c91de99218b16d572879117a5e6,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_6a251a5f2b8e6ad4d8101def,SV5_INFILL_ROOM_14ba504102951d122e14,SV5_OPTIONAL_15,SV5_OPTIONAL_15,SV5_PLACE_16_1B9B7A51A39C0013_PORT_IN,SV5_INFILL_ROOM_14ba504102951d122e14_LINK:CONNECTOR,21,240,1,2ec7b7c9d2acd83d11addf42809837173aae63c9c8cb7a781a2b9babde971191,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_a5dfc61c8b007b18d3944c9e,SV5_INFILL_ROOM_220f9ac2dcdf86c3e8d0,SV5_OPTIONAL_14,SV5_OPTIONAL_14,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_220f9ac2dcdf86c3e8d0_LINK:CONNECTOR,21,338,1,2294a9f225d78daa9488e31684394888afcea692f7026e3040c944b05abc1c6b,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_76e8dd1b27e753c1253fbf70,SV5_INFILL_ROOM_034e96ec4b59b2e7de89,SV5_OPTIONAL_14,SV5_OPTIONAL_14,SV5_PLACE_04_CB2B17D440D58981_PORT_OUT,SV5_INFILL_ROOM_034e96ec4b59b2e7de89_LINK:CONNECTOR,21,356,-1,ddff9a7d96d16aa71c71166647e575895d008450fa7bcca46144a28d8285e6a2,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
EP_e7e1c79f43a4f6e282465042,SV5_INFILL_ROOM_034e96ec4b59b2e7de89,SV5_OPTIONAL_14,SV5_OPTIONAL_14,SV5_PLACE_04_CB2B17D440D58981_PORT_OUT,SV5_INFILL_ROOM_034e96ec4b59b2e7de89_LINK:CONNECTOR,21,356,1,5d4ff33d02149b863323f8cd9c9b8233c514344e1417bd4bd99235dadee48c97,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
