sidepath_id,x,y,source_value,final_value,role,plan_digest
SV5_SIDE_01d2925e85f830d81c0b,216,390,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,217,390,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,218,390,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,225,390,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,226,390,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,227,390,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,212,391,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,213,391,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,214,391,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,215,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,216,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,217,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,218,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,219,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,220,391,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,221,391,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,222,391,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,223,391,UNKNOWN,SOLID,SOLIDSUPPORT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,224,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,225,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,226,391,UNKNOWN,AIR,AIR,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
