x,y
556,19
221,20
555,20
556,20
557,20
220,21
221,21
222,21
554,21
555,21
556,21
557,21
558,21
218,22
219,22
220,22
221,22
222,22
223,22
553,22
554,22
555,22
556,22
557,22
558,22
559,22
218,23
219,23
220,23
221,23
222,23
223,23
553,23
554,23
555,23
557,23
558,23
559,23
218,24
219,24
220,24
222,24
223,24
553,24
554,24
558,24
559,24
551,41
552,41
553,41
554,41
555,41
556,41
557,41
550,42
551,42
552,42
553,42
554,42
555,42
556,42
557,42
558,42
549,43
550,43
551,43
552,43
553,43
554,43
555,43
556,43
557,43
558,43
548,44
549,44
550,44
551,44
557,44
558,44
547,45
548,45
549,45
550,45
546,46
547,46
548,46
549,46
546,47
547,47
548,47
221,48
546,48
547,48
220,49
221,49
222,49
218,50
219,50
220,50
221,50
222,50
223,50
218,51
219,51
220,51
221,51
222,51
223,51
218,52
219,52
220,52
222,52
223,52
135,74
134,75
135,75
131,76
133,76
134,76
135,76
130,77
131,77
132,77
133,77
134,77
135,77
129,78
130,78
131,78
132,78
133,78
134,78
128,79
129,79
130,79
131,79
132,79
133,79
127,80
128,80
129,80
130,80
126,81
127,81
128,81
129,81
126,82
127,82
128,82
126,83
127,83
177,84
550,84
551,84
552,84
553,84
176,85
177,85
178,85
548,85
549,85
550,85
551,85
552,85
553,85
554,85
555,85
174,86
175,86
176,86
177,86
178,86
179,86
547,86
548,86
549,86
550,86
551,86
552,86
553,86
554,86
555,86
556,86
174,87
175,87
176,87
177,87
178,87
179,87
546,87
547,87
548,87
549,87
550,87
553,87
554,87
555,87
556,87
557,87
174,88
175,88
176,88
178,88
179,88
545,88
546,88
547,88
548,88
555,88
556,88
557,88
544,89
545,89
546,89
547,89
556,89
557,89
543,90
544,90
545,90
546,90
543,91
544,91
545,91
543,92
544,92
555,104
553,105
554,105
555,105
556,105
552,106
553,106
554,106
555,106
556,106
557,106
558,106
552,107
553,107
554,107
555,107
556,107
557,107
558,107
552,108
553,108
556,108
557,108
558,108
547,122
547,123
548,123
547,124
548,124
549,124
547,125
548,125
549,125
550,125
548,126
549,126
550,126
551,126
558,126
549,127
550,127
551,127
552,127
557,127
558,127
550,128
551,128
552,128
553,128
556,128
557,128
558,128
551,129
552,129
553,129
554,129
555,129
556,129
557,129
558,129
552,130
553,130
554,130
555,130
556,130
557,130
553,131
554,131
555,131
556,131
127,159
128,159
129,159
126,160
127,160
128,160
129,160
125,161
126,161
127,161
128,161
129,161
124,162
125,162
126,162
127,162
124,163
125,163
126,163
124,164
125,164
167,203
168,203
167,204
168,204
169,204
167,205
168,205
169,205
170,205
168,206
169,206
170,206
171,206
169,207
170,207
171,207
172,207
170,208
171,208
172,208
173,208
171,209
172,209
173,209
174,209
172,210
173,210
174,210
173,211
174,211
377,317
378,317
379,317
380,317
381,317
382,317
377,318
378,318
379,318
380,318
381,318
382,318
383,318
377,319
378,319
379,319
380,319
381,319
382,319
383,319
384,319
382,320
383,320
384,320
385,320
383,321
384,321
385,321
386,321
384,322
385,322
386,322
387,322
385,323
386,323
387,323
388,323
389,323
386,324
387,324
388,324
389,324
387,325
388,325
389,325
55,350
54,351
55,351
53,352
54,352
55,352
52,353
53,353
54,353
55,353
38,354
51,354
52,354
53,354
54,354
38,355
39,355
40,355
41,355
42,355
43,355
44,355
45,355
46,355
47,355
48,355
49,355
50,355
51,355
52,355
53,355
38,356
39,356
40,356
41,356
42,356
43,356
44,356
45,356
46,356
47,356
48,356
49,356
50,356
51,356
52,356
38,357
39,357
40,357
41,357
42,357
43,357
44,357
45,357
46,357
47,357
48,357
49,357
50,357
51,357
383,364
382,365
383,365
384,365
381,366
382,366
383,366
384,366
385,366
386,366
381,367
382,367
383,367
384,367
385,367
386,367
41,368
381,368
382,368
384,368
385,368
386,368
40,369
41,369
42,369
38,370
39,370
40,370
41,370
42,370
43,370
49,370
38,371
39,371
40,371
41,371
42,371
43,371
47,371
48,371
49,371
38,372
39,372
40,372
42,372
43,372
46,372
47,372
48,372
49,372
35,373
45,373
46,373
47,373
48,373
49,373
35,374
36,374
44,374
45,374
46,374
47,374
35,375
36,375
37,375
38,375
42,375
43,375
44,375
45,375
46,375
35,376
36,376
37,376
38,376
39,376
40,376
41,376
42,376
43,376
44,376
45,376
36,377
37,377
38,377
39,377
40,377
41,377
42,377
43,377
44,377
38,378
39,378
40,378
41,378
42,378
