hub_id,x,y,cell_role,micro_x,micro_y,micro_pattern_owner,source_value,final_value,plan_digest
SV5_HUB_227c239e347700d8a4b0,176,224,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,177,224,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,178,224,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,179,224,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,180,224,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,181,224,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,182,224,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,183,224,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,184,224,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,185,224,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,186,224,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,187,224,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,188,224,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,189,224,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,190,224,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,191,224,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,192,224,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,193,224,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,194,224,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,195,224,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,196,224,SOLID,49,56,SV5_HUB_227c239e347700d8a4b0@49:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,197,224,SOLID,49,56,SV5_HUB_227c239e347700d8a4b0@49:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,198,224,SOLID,49,56,SV5_HUB_227c239e347700d8a4b0@49:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,199,224,SOLID,49,56,SV5_HUB_227c239e347700d8a4b0@49:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,176,225,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,177,225,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,178,225,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,179,225,SOLID,44,56,SV5_HUB_227c239e347700d8a4b0@44:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,180,225,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,181,225,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,182,225,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,183,225,SOLID,45,56,SV5_HUB_227c239e347700d8a4b0@45:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,184,225,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,185,225,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,186,225,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,187,225,SOLID,46,56,SV5_HUB_227c239e347700d8a4b0@46:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,188,225,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,189,225,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,190,225,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,191,225,SOLID,47,56,SV5_HUB_227c239e347700d8a4b0@47:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,192,225,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,193,225,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,194,225,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0,195,225,SOLID,48,56,SV5_HUB_227c239e347700d8a4b0@48:56,UNKNOWN,SOLID,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
