connection_id,cell_role,sequence,x,y,before_value,final_value,head_value,support_value,changed,ownership,plan_digest
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,0,176,233,UNKNOWN,AIR,AIR,UNKNOWN,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,1,175,233,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,2,174,233,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,3,173,233,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,4,172,233,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,5,171,233,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,6,170,233,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,7,169,233,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,8,169,234,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,9,169,235,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,10,169,236,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,11,169,237,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CENTERLINE,12,169,238,SOLID,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
