connection_id,check_id,status,detail,plan_digest
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,HEAD_CLEARANCE,PASS,HEAD_CLEARANCE|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,MOVEMENT_WITNESS,PASS,MOVEMENT_WITNESS|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,NO_PROTECTED_BODY,PASS,NO_PROTECTED_BODY|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,NO_TYPE0,PASS,NO_TYPE0|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,NO_PROGRESSION_BYPASS,PASS,NO_PROGRESSION_BYPASS|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,EXTERNAL_ANCHOR_UNCHANGED,PASS,EXTERNAL_ANCHOR_UNCHANGED|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_01,OWNERSHIP_UNIQUE,PASS,OWNERSHIP_UNIQUE|path=15|changed=27|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,HEAD_CLEARANCE,PASS,HEAD_CLEARANCE|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,MOVEMENT_WITNESS,PASS,MOVEMENT_WITNESS|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,NO_PROTECTED_BODY,PASS,NO_PROTECTED_BODY|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,NO_TYPE0,PASS,NO_TYPE0|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,NO_PROGRESSION_BYPASS,PASS,NO_PROGRESSION_BYPASS|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,EXTERNAL_ANCHOR_UNCHANGED,PASS,EXTERNAL_ANCHOR_UNCHANGED|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_04,OWNERSHIP_UNIQUE,PASS,OWNERSHIP_UNIQUE|path=62|changed=110|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_05,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=85|changed=107|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
SV5_HUB_227c239e347700d8a4b0_CONNECTION_05,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=85|changed=107|direction=HUB_TO_EXTERNAL,fafb12050a991883150238dd1cec129cf63fabc44d16196040f2d45148a533a8
