x,y
556,19
221,20
555,20
556,20
557,20
220,21
221,21
222,21
554,21
555,21
556,21
557,21
558,21
218,22
219,22
220,22
221,22
222,22
223,22
553,22
554,22
555,22
556,22
557,22
558,22
559,22
218,23
219,23
220,23
221,23
222,23
223,23
553,23
554,23
555,23
557,23
558,23
559,23
218,24
219,24
220,24
222,24
223,24
553,24
554,24
558,24
559,24
551,41
552,41
553,41
554,41
555,41
556,41
557,41
550,42
551,42
552,42
553,42
554,42
555,42
556,42
557,42
558,42
549,43
550,43
551,43
552,43
553,43
554,43
555,43
556,43
557,43
558,43
548,44
549,44
550,44
551,44
557,44
558,44
547,45
548,45
549,45
550,45
546,46
547,46
548,46
549,46
546,47
547,47
548,47
221,48
546,48
547,48
220,49
221,49
222,49
218,50
219,50
220,50
221,50
222,50
223,50
218,51
219,51
220,51
221,51
222,51
223,51
218,52
219,52
220,52
222,52
223,52
135,74
134,75
135,75
131,76
133,76
134,76
135,76
130,77
131,77
132,77
133,77
134,77
135,77
129,78
130,78
131,78
132,78
133,78
134,78
128,79
129,79
130,79
131,79
132,79
133,79
127,80
128,80
129,80
130,80
126,81
127,81
128,81
129,81
126,82
127,82
128,82
126,83
127,83
177,84
550,84
551,84
552,84
553,84
176,85
177,85
178,85
548,85
549,85
550,85
551,85
552,85
553,85
554,85
555,85
174,86
175,86
176,86
177,86
178,86
179,86
547,86
548,86
549,86
550,86
551,86
552,86
553,86
554,86
555,86
556,86
174,87
175,87
176,87
177,87
178,87
179,87
546,87
547,87
548,87
549,87
550,87
553,87
554,87
555,87
556,87
557,87
174,88
175,88
176,88
178,88
179,88
545,88
546,88
547,88
548,88
555,88
556,88
557,88
544,89
545,89
546,89
547,89
556,89
557,89
543,90
544,90
545,90
546,90
543,91
544,91
545,91
543,92
544,92
547,122
547,123
548,123
547,124
548,124
549,124
547,125
548,125
549,125
550,125
548,126
549,126
550,126
551,126
558,126
549,127
550,127
551,127
552,127
557,127
558,127
550,128
551,128
552,128
553,128
556,128
557,128
558,128
551,129
552,129
553,129
554,129
555,129
556,129
557,129
558,129
552,130
553,130
554,130
555,130
556,130
557,130
553,131
554,131
555,131
556,131
127,159
128,159
129,159
126,160
127,160
128,160
129,160
125,161
126,161
127,161
128,161
129,161
124,162
125,162
126,162
127,162
124,163
125,163
126,163
124,164
125,164
167,203
168,203
167,204
168,204
169,204
167,205
168,205
169,205
170,205
168,206
169,206
170,206
171,206
169,207
170,207
171,207
172,207
170,208
171,208
172,208
173,208
171,209
172,209
173,209
174,209
172,210
173,210
174,210
173,211
174,211
56,304
57,304
56,305
57,305
58,305
56,306
57,306
58,306
59,306
57,307
58,307
59,307
60,307
58,308
59,308
60,308
61,308
59,309
60,309
61,309
62,309
60,310
61,310
62,310
63,310
61,311
62,311
63,311
62,312
63,312
377,317
378,317
379,317
380,317
381,317
382,317
377,318
378,318
379,318
380,318
381,318
382,318
383,318
377,319
378,319
379,319
380,319
381,319
382,319
383,319
384,319
382,320
383,320
384,320
385,320
383,321
384,321
385,321
386,321
384,322
385,322
386,322
387,322
385,323
386,323
387,323
388,323
389,323
386,324
387,324
388,324
389,324
387,325
388,325
389,325
362,345
363,345
364,345
361,346
362,346
363,346
364,346
365,346
360,347
361,347
362,347
363,347
364,347
365,347
366,347
360,348
361,348
362,348
364,348
365,348
366,348
367,348
360,349
361,349
365,349
366,349
367,349
368,349
366,350
367,350
368,350
369,350
367,351
368,351
369,351
368,352
369,352
60,355
243,355
244,355
58,356
59,356
60,356
61,356
243,356
244,356
245,356
57,357
58,357
59,357
60,357
61,357
62,357
243,357
244,357
245,357
246,357
56,358
57,358
58,358
59,358
60,358
61,358
62,358
63,358
244,358
245,358
246,358
247,358
56,359
57,359
58,359
61,359
62,359
63,359
245,359
246,359
247,359
248,359
56,360
57,360
62,360
63,360
246,360
247,360
248,360
249,360
247,361
248,361
249,361
250,361
248,362
249,362
250,362
249,363
250,363
383,364
382,365
383,365
384,365
381,366
382,366
383,366
384,366
385,366
386,366
381,367
382,367
383,367
384,367
385,367
386,367
381,368
382,368
384,368
385,368
386,368
