hub_id,x,y,cell_role,micro_x,micro_y,micro_pattern_owner,source_value,final_value,plan_digest
SV5_HUB_af2019bfe05b9f4acebf,552,232,SOLID,138,58,SV5_HUB_af2019bfe05b9f4acebf@138:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,553,232,SOLID,138,58,SV5_HUB_af2019bfe05b9f4acebf@138:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,554,232,SOLID,138,58,SV5_HUB_af2019bfe05b9f4acebf@138:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,555,232,SOLID,138,58,SV5_HUB_af2019bfe05b9f4acebf@138:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,556,232,SOLID,139,58,SV5_HUB_af2019bfe05b9f4acebf@139:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,557,232,SOLID,139,58,SV5_HUB_af2019bfe05b9f4acebf@139:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,558,232,SOLID,139,58,SV5_HUB_af2019bfe05b9f4acebf@139:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,559,232,SOLID,139,58,SV5_HUB_af2019bfe05b9f4acebf@139:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,560,232,SOLID,140,58,SV5_HUB_af2019bfe05b9f4acebf@140:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,561,232,SOLID,140,58,SV5_HUB_af2019bfe05b9f4acebf@140:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,562,232,SOLID,140,58,SV5_HUB_af2019bfe05b9f4acebf@140:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,563,232,SOLID,140,58,SV5_HUB_af2019bfe05b9f4acebf@140:58,AIR,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf,564,232,SOLID,141,58,SV5_HUB_af2019bfe05b9f4acebf@141:58,UNKNOWN,SOLID,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
