connection_id,sequence,from_x,from_y,to_x,to_y,move_type,body_clear,head_clear,contact_x,contact_y,plan_digest
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,0,552,241,550,239,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,1,550,239,548,237,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,2,548,237,550,235,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,3,550,235,548,233,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,4,548,233,550,232,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,5,550,232,553,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,6,553,230,556,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,7,556,230,559,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,8,559,230,562,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,9,562,230,565,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,10,565,230,568,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,11,568,230,571,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,12,571,230,574,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,13,574,230,577,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,14,577,230,579,230,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,15,579,230,581,232,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,0,575,241,578,241,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,1,578,241,581,243,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,2,581,243,579,245,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,3,579,245,578,246,STEP_UP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,4,578,246,581,248,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_05,0,575,252,578,252,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_05,1,578,252,580,254,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_05,2,580,254,578,256,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_05,3,578,256,580,258,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_05,4,580,258,578,260,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_05,5,578,260,580,261,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_06,0,575,263,578,263,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_06,1,578,263,581,264,JUMP,true,true,,,a67db697511df10e7302fcd0b18b17ff23b7bfe39c318ab629b35622c16763b2
