x,y,role,collision_type,before_value,final_value,owner,body_clear,head_clear,support_value,top_only,grab_enabled,movement_enabled,visual_only,plan_digest
543,240,BRANCH_PLATFORM,TOP_ONLY,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
544,240,BRANCH_PLATFORM,TOP_ONLY,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
547,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
550,240,BRANCH_PLATFORM,TOP_ONLY,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
544,241,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,SOLID,false,false,false,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
547,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
550,241,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,SOLID,false,false,false,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
544,242,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,AIR,false,false,false,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,242,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,242,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
547,242,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,242,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,242,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
550,242,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,AIR,false,false,false,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
544,243,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,AIR,false,false,false,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,243,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,243,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
547,243,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,243,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
