x,y,face,anchor_id,anchor_type,hang_x,hang_y,collision_role,branch_platform_grab,plan_digest
545,241,LEFT,TREE_CLIMB_001,TRUNK_CLIMB_FACE,544,241,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,241,RIGHT,TREE_CLIMB_002,TRUNK_CLIMB_FACE,550,241,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,242,LEFT,TREE_CLIMB_003,TRUNK_CLIMB_FACE,544,242,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,242,RIGHT,TREE_CLIMB_004,TRUNK_CLIMB_FACE,550,242,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,243,LEFT,TREE_CLIMB_005,TRUNK_CLIMB_FACE,544,243,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,243,RIGHT,TREE_CLIMB_006,TRUNK_CLIMB_FACE,550,243,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,244,LEFT,TREE_CLIMB_007,TRUNK_CLIMB_FACE,544,244,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,244,RIGHT,TREE_CLIMB_008,TRUNK_CLIMB_FACE,550,244,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,245,LEFT,TREE_CLIMB_009,TRUNK_CLIMB_FACE,544,245,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,245,RIGHT,TREE_CLIMB_010,TRUNK_CLIMB_FACE,550,245,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,246,LEFT,TREE_CLIMB_011,TRUNK_CLIMB_FACE,545,246,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,246,RIGHT,TREE_CLIMB_012,TRUNK_CLIMB_FACE,550,246,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,248,LEFT,TREE_CLIMB_013,TRUNK_CLIMB_FACE,544,248,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,248,RIGHT,TREE_CLIMB_014,TRUNK_CLIMB_FACE,547,248,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,248,LEFT,TREE_CLIMB_015,TRUNK_CLIMB_FACE,547,248,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,249,RIGHT,TREE_CLIMB_016,TRUNK_CLIMB_FACE,546,249,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,249,LEFT,TREE_CLIMB_017,TRUNK_CLIMB_FACE,548,249,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,249,RIGHT,TREE_CLIMB_018,TRUNK_CLIMB_FACE,553,249,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,250,LEFT,TREE_CLIMB_019,TRUNK_CLIMB_FACE,542,250,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,250,RIGHT,TREE_CLIMB_020,TRUNK_CLIMB_FACE,546,250,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,250,LEFT,TREE_CLIMB_021,TRUNK_CLIMB_FACE,548,250,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,251,LEFT,TREE_CLIMB_022,TRUNK_CLIMB_FACE,548,251,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
551,251,RIGHT,TREE_CLIMB_023,TRUNK_CLIMB_FACE,552,251,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,252,LEFT,TREE_CLIMB_024,TRUNK_CLIMB_FACE,542,252,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,253,LEFT,TREE_CLIMB_025,TRUNK_CLIMB_FACE,542,253,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,253,RIGHT,TREE_CLIMB_026,TRUNK_CLIMB_FACE,550,253,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
551,253,LEFT,TREE_CLIMB_027,TRUNK_CLIMB_FACE,550,253,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,253,RIGHT,TREE_CLIMB_028,TRUNK_CLIMB_FACE,553,253,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,254,LEFT,TREE_CLIMB_029,TRUNK_CLIMB_FACE,542,254,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,254,RIGHT,TREE_CLIMB_030,TRUNK_CLIMB_FACE,553,254,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,255,RIGHT,TREE_CLIMB_031,TRUNK_CLIMB_FACE,553,255,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,256,LEFT,TREE_CLIMB_032,TRUNK_CLIMB_FACE,542,256,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,256,RIGHT,TREE_CLIMB_033,TRUNK_CLIMB_FACE,550,256,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
551,256,LEFT,TREE_CLIMB_034,TRUNK_CLIMB_FACE,550,256,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,257,LEFT,TREE_CLIMB_035,TRUNK_CLIMB_FACE,542,257,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,257,RIGHT,TREE_CLIMB_036,TRUNK_CLIMB_FACE,547,257,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,257,LEFT,TREE_CLIMB_037,TRUNK_CLIMB_FACE,547,257,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,257,RIGHT,TREE_CLIMB_038,TRUNK_CLIMB_FACE,550,257,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
551,257,LEFT,TREE_CLIMB_039,TRUNK_CLIMB_FACE,550,257,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,257,RIGHT,TREE_CLIMB_040,TRUNK_CLIMB_FACE,553,257,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,258,LEFT,TREE_CLIMB_041,TRUNK_CLIMB_FACE,542,258,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,258,RIGHT,TREE_CLIMB_042,TRUNK_CLIMB_FACE,553,258,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,259,LEFT,TREE_CLIMB_043,TRUNK_CLIMB_FACE,542,259,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,259,RIGHT,TREE_CLIMB_044,TRUNK_CLIMB_FACE,553,259,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,260,LEFT,TREE_CLIMB_045,TRUNK_CLIMB_FACE,542,260,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,260,RIGHT,TREE_CLIMB_046,TRUNK_CLIMB_FACE,544,260,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,260,LEFT,TREE_CLIMB_047,TRUNK_CLIMB_FACE,544,260,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
549,260,RIGHT,TREE_CLIMB_048,TRUNK_CLIMB_FACE,550,260,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
551,260,LEFT,TREE_CLIMB_049,TRUNK_CLIMB_FACE,550,260,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,261,LEFT,TREE_CLIMB_050,TRUNK_CLIMB_FACE,542,261,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,261,RIGHT,TREE_CLIMB_051,TRUNK_CLIMB_FACE,544,261,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
545,261,LEFT,TREE_CLIMB_052,TRUNK_CLIMB_FACE,544,261,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,261,RIGHT,TREE_CLIMB_053,TRUNK_CLIMB_FACE,553,261,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,262,LEFT,TREE_CLIMB_054,TRUNK_CLIMB_FACE,542,262,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,262,RIGHT,TREE_CLIMB_055,TRUNK_CLIMB_FACE,547,262,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,262,LEFT,TREE_CLIMB_056,TRUNK_CLIMB_FACE,547,262,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,262,RIGHT,TREE_CLIMB_057,TRUNK_CLIMB_FACE,549,262,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,262,LEFT,TREE_CLIMB_058,TRUNK_CLIMB_FACE,551,262,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,262,RIGHT,TREE_CLIMB_059,TRUNK_CLIMB_FACE,553,262,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
543,263,LEFT,TREE_CLIMB_060,TRUNK_CLIMB_FACE,542,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
544,263,RIGHT,TREE_CLIMB_061,TRUNK_CLIMB_FACE,545,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,263,LEFT,TREE_CLIMB_062,TRUNK_CLIMB_FACE,545,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
546,263,RIGHT,TREE_CLIMB_063,TRUNK_CLIMB_FACE,547,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,263,LEFT,TREE_CLIMB_064,TRUNK_CLIMB_FACE,547,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
548,263,RIGHT,TREE_CLIMB_065,TRUNK_CLIMB_FACE,549,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,263,LEFT,TREE_CLIMB_066,TRUNK_CLIMB_FACE,551,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
552,263,RIGHT,TREE_CLIMB_067,TRUNK_CLIMB_FACE,553,263,TRUNK_CLIMB,false,ae2fed5ef829d8354eddf66bd4b319bd2213e535e14332b77df4ce05203270a3
