connection_id,check_id,status,detail,plan_digest
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,HEAD_CLEARANCE,PASS,HEAD_CLEARANCE|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,MOVEMENT_WITNESS,PASS,MOVEMENT_WITNESS|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,NO_PROTECTED_BODY,PASS,NO_PROTECTED_BODY|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,NO_TYPE0,PASS,NO_TYPE0|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,NO_PROGRESSION_BYPASS,PASS,NO_PROGRESSION_BYPASS|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,EXTERNAL_ANCHOR_UNCHANGED,PASS,EXTERNAL_ANCHOR_UNCHANGED|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,OWNERSHIP_UNIQUE,PASS,OWNERSHIP_UNIQUE|path=45|changed=96|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=14|changed=18|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=14|changed=18|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,HEAD_CLEARANCE,PASS,HEAD_CLEARANCE|path=14|changed=18|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,MOVEMENT_WITNESS,PASS,MOVEMENT_WITNESS|path=14|changed=18|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,NO_PROTECTED_BODY,PASS,NO_PROTECTED_BODY|path=14|changed=18|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,NO_TYPE0,PASS,NO_TYPE0|path=14|changed=18|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_04,NO_PROGRESSION_BYPASS,PASS,NO_PROGRESSION_BYPASS|path=14|changed=18|direction=HUB_TO_EXTERNAL,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
