x,y,role,collision_type,before_value,final_value,owner,body_clear,head_clear,support_value,top_only,grab_enabled,movement_enabled,visual_only,plan_digest
561,240,BRANCH_PLATFORM,TOP_ONLY,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
563,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
564,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
565,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
567,240,BRANCH_PLATFORM,TOP_ONLY,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
568,240,BRANCH_PLATFORM,TOP_ONLY,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
561,241,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,SOLID,false,false,false,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
563,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
564,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
565,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
567,241,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,SOLID,false,false,false,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
561,242,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,AIR,false,false,false,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
