route_id,sequence,from_x,from_y,to_x,to_y,state,contact_x,contact_y,connected,plan_digest
TREE_ROUTE_LEFT,1,561,242,561,244,TRUNK_CLIMB,562,244,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,2,561,244,561,246,TRUNK_CLIMB,562,246,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,3,561,246,564,248,TRUNK_CLIMB,563,248,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,4,564,248,563,249,TRUNK_CLIMB,562,249,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,5,563,249,563,250,TRUNK_CLIMB,562,250,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,6,563,250,561,253,TRUNK_CLIMB,560,253,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,7,561,253,558,255,TRUNK_CLIMB,559,255,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,8,558,255,561,256,TRUNK_CLIMB,560,256,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,9,561,256,558,258,TRUNK_CLIMB,559,258,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,10,558,258,561,260,TRUNK_CLIMB,560,260,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,11,561,260,558,262,TRUNK_CLIMB,559,262,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,12,558,262,558,263,TRUNK_CLIMB,559,263,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,1,567,242,567,243,TRUNK_CLIMB,566,243,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,2,567,243,567,245,TRUNK_CLIMB,566,245,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,3,567,245,564,248,TRUNK_CLIMB,565,248,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,4,564,248,565,249,TRUNK_CLIMB,566,249,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,5,565,249,565,250,TRUNK_CLIMB,566,250,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,6,565,250,569,253,TRUNK_CLIMB,568,253,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,7,569,253,569,254,TRUNK_CLIMB,568,254,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,8,569,254,569,256,TRUNK_CLIMB,568,256,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,9,569,256,569,258,TRUNK_CLIMB,568,258,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,10,569,258,569,261,TRUNK_CLIMB,568,261,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,11,569,261,569,262,TRUNK_CLIMB,568,262,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,12,569,262,569,263,TRUNK_CLIMB,568,263,true,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
