route_id,sequence,from_x,from_y,to_x,to_y,state,move_type,traversal_state,body_clear,head_clear,contact_x,contact_y,itemless,initial_capture_rise,plan_digest
TREE_ROUTE_LEFT,0,561,241,561,242,JUMP_GRAB,JUMP_GRAB,BRANCH_TO_TRUNK,true,true,562,242,true,1,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,1,561,242,561,244,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,562,244,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,2,561,244,561,246,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,562,246,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,3,561,246,564,248,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,563,248,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,4,564,248,563,249,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,562,249,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,5,563,249,563,250,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,562,250,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,6,563,250,561,253,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,560,253,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,7,561,253,558,255,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,559,255,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,8,558,255,561,256,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,560,256,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,9,561,256,558,258,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,559,258,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,10,558,258,561,260,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,560,260,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,11,561,260,558,262,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,559,262,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,12,558,262,558,263,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,559,263,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_LEFT,13,558,263,561,263,BRANCH_LAND,JUMP,TRUNK_TO_BRANCH,true,true,,,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,0,567,241,567,242,JUMP_GRAB,JUMP_GRAB,BRANCH_TO_TRUNK,true,true,566,242,true,1,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,1,567,242,567,243,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,566,243,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,2,567,243,567,245,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,566,245,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,3,567,245,564,248,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,565,248,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,4,564,248,565,249,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,566,249,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,5,565,249,565,250,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,566,250,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,6,565,250,569,253,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,568,253,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,7,569,253,569,254,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,568,254,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,8,569,254,569,256,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,568,256,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,9,569,256,569,258,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,568,258,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,10,569,258,569,261,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,568,261,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,11,569,261,569,262,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,568,262,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,12,569,262,569,263,TRUNK_CLIMB,JUMP,TRUNK_CLIMB,true,true,568,263,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
TREE_ROUTE_RIGHT,13,569,263,567,264,BRANCH_LAND,JUMP,TRUNK_TO_BRANCH,true,true,,,true,0,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
