x,y,face,anchor_id,anchor_type,hang_x,hang_y,collision_role,branch_platform_grab,plan_digest
562,241,LEFT,TREE_CLIMB_001,TRUNK_CLIMB_FACE,561,241,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,241,RIGHT,TREE_CLIMB_002,TRUNK_CLIMB_FACE,567,241,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,242,LEFT,TREE_CLIMB_003,TRUNK_CLIMB_FACE,561,242,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,242,RIGHT,TREE_CLIMB_004,TRUNK_CLIMB_FACE,567,242,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,243,LEFT,TREE_CLIMB_005,TRUNK_CLIMB_FACE,561,243,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,243,RIGHT,TREE_CLIMB_006,TRUNK_CLIMB_FACE,567,243,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,244,LEFT,TREE_CLIMB_007,TRUNK_CLIMB_FACE,561,244,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,244,RIGHT,TREE_CLIMB_008,TRUNK_CLIMB_FACE,567,244,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,245,LEFT,TREE_CLIMB_009,TRUNK_CLIMB_FACE,561,245,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,245,RIGHT,TREE_CLIMB_010,TRUNK_CLIMB_FACE,567,245,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,246,LEFT,TREE_CLIMB_011,TRUNK_CLIMB_FACE,561,246,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
565,246,RIGHT,TREE_CLIMB_012,TRUNK_CLIMB_FACE,566,246,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
563,248,RIGHT,TREE_CLIMB_013,TRUNK_CLIMB_FACE,564,248,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
565,248,LEFT,TREE_CLIMB_014,TRUNK_CLIMB_FACE,564,248,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,248,RIGHT,TREE_CLIMB_015,TRUNK_CLIMB_FACE,567,248,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
559,249,LEFT,TREE_CLIMB_016,TRUNK_CLIMB_FACE,558,249,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,249,RIGHT,TREE_CLIMB_017,TRUNK_CLIMB_FACE,563,249,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,249,LEFT,TREE_CLIMB_018,TRUNK_CLIMB_FACE,565,249,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,250,RIGHT,TREE_CLIMB_019,TRUNK_CLIMB_FACE,563,250,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
566,250,LEFT,TREE_CLIMB_020,TRUNK_CLIMB_FACE,565,250,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
568,250,RIGHT,TREE_CLIMB_021,TRUNK_CLIMB_FACE,569,250,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
560,251,LEFT,TREE_CLIMB_022,TRUNK_CLIMB_FACE,559,251,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,251,RIGHT,TREE_CLIMB_023,TRUNK_CLIMB_FACE,563,251,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
568,252,RIGHT,TREE_CLIMB_024,TRUNK_CLIMB_FACE,569,252,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
559,253,LEFT,TREE_CLIMB_025,TRUNK_CLIMB_FACE,558,253,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
560,253,RIGHT,TREE_CLIMB_026,TRUNK_CLIMB_FACE,561,253,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
562,253,LEFT,TREE_CLIMB_027,TRUNK_CLIMB_FACE,561,253,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
568,253,RIGHT,TREE_CLIMB_028,TRUNK_CLIMB_FACE,569,253,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
559,254,LEFT,TREE_CLIMB_029,TRUNK_CLIMB_FACE,558,254,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
568,254,RIGHT,TREE_CLIMB_030,TRUNK_CLIMB_FACE,569,254,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
559,255,LEFT,TREE_CLIMB_031,TRUNK_CLIMB_FACE,558,255,TRUNK_CLIMB,false,37ed7780209b0737e197d116ab313609544c48465e400be55da67a89566cb1b2
