connection_id,check_id,status,detail,plan_digest
SV5_HUB_b624339804c077812f98_CONNECTION_01,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,HEAD_CLEARANCE,PASS,HEAD_CLEARANCE|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,MOVEMENT_WITNESS,PASS,MOVEMENT_WITNESS|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,NO_PROTECTED_BODY,PASS,NO_PROTECTED_BODY|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,NO_TYPE0,PASS,NO_TYPE0|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,NO_PROGRESSION_BYPASS,PASS,NO_PROGRESSION_BYPASS|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,EXTERNAL_ANCHOR_UNCHANGED,PASS,EXTERNAL_ANCHOR_UNCHANGED|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_01,OWNERSHIP_UNIQUE,PASS,OWNERSHIP_UNIQUE|path=61|changed=133|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,HEAD_CLEARANCE,PASS,HEAD_CLEARANCE|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,MOVEMENT_WITNESS,PASS,MOVEMENT_WITNESS|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,NO_PROTECTED_BODY,PASS,NO_PROTECTED_BODY|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,NO_TYPE0,PASS,NO_TYPE0|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,NO_PROGRESSION_BYPASS,PASS,NO_PROGRESSION_BYPASS|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,EXTERNAL_ANCHOR_UNCHANGED,PASS,EXTERNAL_ANCHOR_UNCHANGED|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_04,OWNERSHIP_UNIQUE,PASS,OWNERSHIP_UNIQUE|path=30|changed=56|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_05,ACTUAL_CELL_ROUTE,PASS,ACTUAL_CELL_ROUTE|path=31|changed=51|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
SV5_HUB_b624339804c077812f98_CONNECTION_05,CARDINAL_CENTERLINE,PASS,CARDINAL_CENTERLINE|path=31|changed=51|direction=HUB_TO_EXTERNAL,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
