x,y,role,collision_type,before_value,final_value,owner,body_clear,head_clear,support_value,top_only,grab_enabled,movement_enabled,visual_only,plan_digest
545,240,BRANCH_PLATFORM,BRANCH_PLATFORM,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
547,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
550,240,BRANCH_PLATFORM,BRANCH_PLATFORM,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,241,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,SOLID,false,false,false,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
547,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
