x,y,face,anchor_id,anchor_type,hang_x,hang_y,collision_role,branch_platform_grab,plan_digest
546,241,LEFT,TREE_CLIMB_001,TRUNK_CLIMB_FACE,545,241,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,241,RIGHT,TREE_CLIMB_002,TRUNK_CLIMB_FACE,550,241,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,242,LEFT,TREE_CLIMB_003,TRUNK_CLIMB_FACE,545,242,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,242,RIGHT,TREE_CLIMB_004,TRUNK_CLIMB_FACE,550,242,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,243,RIGHT,TREE_CLIMB_005,TRUNK_CLIMB_FACE,550,243,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,244,LEFT,TREE_CLIMB_006,TRUNK_CLIMB_FACE,544,244,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,244,RIGHT,TREE_CLIMB_007,TRUNK_CLIMB_FACE,549,244,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,245,LEFT,TREE_CLIMB_008,TRUNK_CLIMB_FACE,544,245,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,246,LEFT,TREE_CLIMB_009,TRUNK_CLIMB_FACE,545,246,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,246,RIGHT,TREE_CLIMB_010,TRUNK_CLIMB_FACE,550,246,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,247,RIGHT,TREE_CLIMB_011,TRUNK_CLIMB_FACE,550,247,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,248,LEFT,TREE_CLIMB_012,TRUNK_CLIMB_FACE,544,248,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,248,RIGHT,TREE_CLIMB_013,TRUNK_CLIMB_FACE,549,248,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,249,LEFT,TREE_CLIMB_014,TRUNK_CLIMB_FACE,544,249,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,250,LEFT,TREE_CLIMB_015,TRUNK_CLIMB_FACE,545,250,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,250,RIGHT,TREE_CLIMB_016,TRUNK_CLIMB_FACE,550,250,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,251,RIGHT,TREE_CLIMB_017,TRUNK_CLIMB_FACE,550,251,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,252,LEFT,TREE_CLIMB_018,TRUNK_CLIMB_FACE,544,252,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,252,RIGHT,TREE_CLIMB_019,TRUNK_CLIMB_FACE,549,252,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,253,LEFT,TREE_CLIMB_020,TRUNK_CLIMB_FACE,544,253,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,254,LEFT,TREE_CLIMB_021,TRUNK_CLIMB_FACE,545,254,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,254,RIGHT,TREE_CLIMB_022,TRUNK_CLIMB_FACE,547,254,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,254,LEFT,TREE_CLIMB_023,TRUNK_CLIMB_FACE,547,254,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,254,RIGHT,TREE_CLIMB_024,TRUNK_CLIMB_FACE,550,254,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,255,RIGHT,TREE_CLIMB_025,TRUNK_CLIMB_FACE,550,255,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,256,LEFT,TREE_CLIMB_026,TRUNK_CLIMB_FACE,544,256,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,256,RIGHT,TREE_CLIMB_027,TRUNK_CLIMB_FACE,549,256,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,257,LEFT,TREE_CLIMB_028,TRUNK_CLIMB_FACE,544,257,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,257,RIGHT,TREE_CLIMB_029,TRUNK_CLIMB_FACE,547,257,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,257,LEFT,TREE_CLIMB_030,TRUNK_CLIMB_FACE,547,257,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,258,LEFT,TREE_CLIMB_031,TRUNK_CLIMB_FACE,545,258,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,258,RIGHT,TREE_CLIMB_032,TRUNK_CLIMB_FACE,550,258,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,259,RIGHT,TREE_CLIMB_033,TRUNK_CLIMB_FACE,550,259,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,260,LEFT,TREE_CLIMB_034,TRUNK_CLIMB_FACE,544,260,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,260,RIGHT,TREE_CLIMB_035,TRUNK_CLIMB_FACE,547,260,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,260,LEFT,TREE_CLIMB_036,TRUNK_CLIMB_FACE,547,260,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
548,260,RIGHT,TREE_CLIMB_037,TRUNK_CLIMB_FACE,549,260,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
545,261,LEFT,TREE_CLIMB_038,TRUNK_CLIMB_FACE,544,261,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
546,262,LEFT,TREE_CLIMB_039,TRUNK_CLIMB_FACE,545,262,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
549,262,RIGHT,TREE_CLIMB_040,TRUNK_CLIMB_FACE,550,262,TRUNK_CLIMB,false,ad466bbfcba88aa015c47f35871656d2dc90a10b4453c948ef34a10f3e3af919
