x,y
432,144
433,144
434,144
435,144
436,144
437,144
438,144
439,144
440,144
441,144
442,144
443,144
444,144
445,144
446,144
447,144
448,144
449,144
450,144
451,144
452,144
453,144
454,144
455,144
432,145
433,145
434,145
435,145
436,145
437,145
438,145
439,145
440,145
441,145
442,145
443,145
444,145
445,145
446,145
447,145
448,145
449,145
450,145
451,145
452,145
453,145
454,145
455,145
432,146
433,146
434,146
435,146
436,146
437,146
438,146
439,146
440,146
441,146
442,146
443,146
444,146
445,146
446,146
447,146
448,146
449,146
450,146
451,146
452,146
453,146
454,146
455,146
432,147
433,147
434,147
435,147
436,147
437,147
438,147
439,147
440,147
441,147
442,147
443,147
444,147
445,147
446,147
447,147
448,147
449,147
450,147
451,147
452,147
453,147
454,147
455,147
432,148
433,148
434,148
435,148
436,148
437,148
438,148
439,148
440,148
441,148
442,148
443,148
444,148
445,148
446,148
447,148
448,148
449,148
450,148
451,148
452,148
453,148
454,148
455,148
432,149
433,149
434,149
435,149
436,149
437,149
438,149
439,149
440,149
441,149
442,149
443,149
444,149
445,149
446,149
447,149
448,149
449,149
450,149
451,149
452,149
453,149
454,149
455,149
432,150
433,150
434,150
435,150
436,150
437,150
438,150
439,150
440,150
441,150
442,150
443,150
444,150
445,150
446,150
447,150
448,150
449,150
450,150
451,150
452,150
453,150
454,150
455,150
432,151
433,151
434,151
435,151
436,151
437,151
438,151
439,151
440,151
441,151
442,151
443,151
444,151
445,151
446,151
447,151
448,151
449,151
450,151
451,151
452,151
453,151
454,151
455,151
