connection_id,cell_role,sequence,x,y,before_value,final_value,head_value,support_value,changed,ownership,plan_digest
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,0,552,241,UNKNOWN,AIR,AIR,SOLID,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,1,551,241,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,2,551,240,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,3,551,239,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,4,551,238,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,5,551,237,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,6,551,236,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,7,551,235,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,8,551,234,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,9,551,233,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,10,551,232,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
SV5_HUB_af2019bfe05b9f4acebf_CONNECTION_01,CENTERLINE,11,551,231,UNKNOWN,AIR,AIR,AIR,true,HUB_CONNECTION_ACTUAL,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
