x,y,role,collision_type,before_value,final_value,owner,body_clear,head_clear,support_value,top_only,grab_enabled,movement_enabled,visual_only,plan_digest
561,240,BRANCH_PLATFORM,BRANCH_PLATFORM,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
562,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
563,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
564,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
565,240,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,AIR,false,true,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
566,240,BRANCH_PLATFORM,BRANCH_PLATFORM,AIR,SOLID,TREE_GRAB_ACTUAL,false,true,AIR,true,false,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
561,241,MOVEMENT_CLEARANCE,MOVEMENT_CLEARANCE,AIR,AIR,,true,true,SOLID,false,false,false,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
562,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
563,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
564,241,TRUNK_CLIMB,TRUNK_CLIMB,AIR,SOLID,TREE_GRAB_ACTUAL,false,false,SOLID,false,true,true,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
