route_id,sequence,from_x,from_y,to_x,to_y,state,contact_x,contact_y,connected,plan_digest
TREE_ROUTE_LEFT,1,561,242,560,244,TRUNK_CLIMB,561,244,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,2,560,244,561,246,TRUNK_CLIMB,562,246,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,3,561,246,560,248,TRUNK_CLIMB,561,248,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,4,560,248,561,250,TRUNK_CLIMB,562,250,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,5,561,250,560,252,TRUNK_CLIMB,561,252,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,6,560,252,561,254,TRUNK_CLIMB,562,254,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,7,561,254,560,256,TRUNK_CLIMB,561,256,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,8,560,256,561,258,TRUNK_CLIMB,562,258,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,9,561,258,560,260,TRUNK_CLIMB,561,260,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_LEFT,10,560,260,561,262,TRUNK_CLIMB,562,262,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,1,566,242,565,244,TRUNK_CLIMB,564,244,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,2,565,244,566,246,TRUNK_CLIMB,565,246,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,3,566,246,565,248,TRUNK_CLIMB,564,248,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,4,565,248,566,250,TRUNK_CLIMB,565,250,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,5,566,250,565,252,TRUNK_CLIMB,564,252,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,6,565,252,566,254,TRUNK_CLIMB,565,254,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,7,566,254,565,256,TRUNK_CLIMB,564,256,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,8,565,256,566,258,TRUNK_CLIMB,565,258,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,9,566,258,565,260,TRUNK_CLIMB,564,260,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
TREE_ROUTE_RIGHT,10,565,260,566,262,TRUNK_CLIMB,565,262,true,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
