x,y,face,anchor_id,anchor_type,hang_x,hang_y,collision_role,branch_platform_grab,plan_digest
562,241,LEFT,TREE_CLIMB_001,TRUNK_CLIMB_FACE,561,241,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
565,241,RIGHT,TREE_CLIMB_002,TRUNK_CLIMB_FACE,566,241,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
562,242,LEFT,TREE_CLIMB_003,TRUNK_CLIMB_FACE,561,242,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
565,242,RIGHT,TREE_CLIMB_004,TRUNK_CLIMB_FACE,566,242,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
565,243,RIGHT,TREE_CLIMB_005,TRUNK_CLIMB_FACE,566,243,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
561,244,LEFT,TREE_CLIMB_006,TRUNK_CLIMB_FACE,560,244,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
564,244,RIGHT,TREE_CLIMB_007,TRUNK_CLIMB_FACE,565,244,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
561,245,LEFT,TREE_CLIMB_008,TRUNK_CLIMB_FACE,560,245,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
562,246,LEFT,TREE_CLIMB_009,TRUNK_CLIMB_FACE,561,246,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
565,246,RIGHT,TREE_CLIMB_010,TRUNK_CLIMB_FACE,566,246,TRUNK_CLIMB,false,228848555fbd11a4b3dc75ce7a21199f7662b295b334b73babe78f4ab1a21380
