support_id,x,y,kind,collision
JS00_ENTRY_SOLID,0,1,SOLID,SOLID
JS00_ENTRY_SOLID,1,1,SOLID,SOLID
JS00_ENTRY_SOLID,2,1,SOLID,SOLID
JS01_ONE_WAY,6,2,ONE_WAY,TOP_ONLY
JS01_ONE_WAY,7,2,ONE_WAY,TOP_ONLY
JS01_ONE_WAY,8,2,ONE_WAY,TOP_ONLY
JS02_SOLID,12,3,SOLID,SOLID
JS02_SOLID,13,3,SOLID,SOLID
JS02_SOLID,14,3,SOLID,SOLID
JS03_ONE_WAY,18,4,ONE_WAY,TOP_ONLY
JS03_ONE_WAY,19,4,ONE_WAY,TOP_ONLY
JS03_ONE_WAY,20,4,ONE_WAY,TOP_ONLY
JS04_SOLID,14,5,SOLID,SOLID
JS04_SOLID,15,5,SOLID,SOLID
JS05_ONE_WAY,9,6,ONE_WAY,TOP_ONLY
JS05_ONE_WAY,10,6,ONE_WAY,TOP_ONLY
JS05_ONE_WAY,11,6,ONE_WAY,TOP_ONLY
JS06_SOLID,4,7,SOLID,SOLID
JS06_SOLID,5,7,SOLID,SOLID
JS06_SOLID,6,7,SOLID,SOLID
JS07_ONE_WAY,0,8,ONE_WAY,TOP_ONLY
JS07_ONE_WAY,1,8,ONE_WAY,TOP_ONLY
JS08_SOLID,3,9,SOLID,SOLID
JS08_SOLID,4,9,SOLID,SOLID
JS09_EXIT_ONE_WAY,7,10,ONE_WAY,TOP_ONLY
JS09_EXIT_ONE_WAY,8,10,ONE_WAY,TOP_ONLY
JS09_EXIT_ONE_WAY,9,10,ONE_WAY,TOP_ONLY
