x,y,collision,owner_id,source,support_kind
0,0,SOLID,JS00_ENTRY_SOLID,OUTLINE_BACKING,SOLID
0,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
0,8,TOP_ONLY,JS07_ONE_WAY,BASE_SUPPORT,ONE_WAY
1,0,SOLID,JS00_ENTRY_SOLID,OUTLINE_BACKING,SOLID
1,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
1,8,TOP_ONLY,JS07_ONE_WAY,BASE_SUPPORT,ONE_WAY
2,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
3,7,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
3,8,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
3,9,SOLID,JS08_SOLID,BASE_SUPPORT,SOLID
4,5,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
4,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
4,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
4,8,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
4,9,SOLID,JS08_SOLID,BASE_SUPPORT,SOLID
5,5,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
5,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
5,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
6,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
6,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
6,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
7,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
7,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
8,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
8,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
9,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
9,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
10,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
11,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
12,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
12,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
13,1,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
13,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
13,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
14,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
14,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
14,4,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
14,5,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
14,6,SOLID,JS04_SOLID,BASE_SUPPORT,SOLID
15,5,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
15,6,SOLID,JS04_SOLID,BASE_SUPPORT,SOLID
18,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
19,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
20,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
