outline_cell_id,owner_support_id,x,y,depth,collision
OL_JS00_ENTRY_SOLID_X00_D01,JS00_ENTRY_SOLID,0,0,1,SOLID
OL_JS00_ENTRY_SOLID_X01_D01,JS00_ENTRY_SOLID,1,0,1,SOLID
OL_JS08_SOLID_X03_D02,JS08_SOLID,3,7,2,SOLID
OL_JS08_SOLID_X03_D01,JS08_SOLID,3,8,1,SOLID
OL_JS06_SOLID_X04_D02,JS06_SOLID,4,5,2,SOLID
OL_JS06_SOLID_X04_D01,JS06_SOLID,4,6,1,SOLID
OL_JS08_SOLID_X04_D01,JS08_SOLID,4,8,1,SOLID
OL_JS06_SOLID_X05_D02,JS06_SOLID,5,5,2,SOLID
OL_JS06_SOLID_X05_D01,JS06_SOLID,5,6,1,SOLID
OL_JS06_SOLID_X06_D01,JS06_SOLID,6,6,1,SOLID
OL_JS02_SOLID_X12_D01,JS02_SOLID,12,2,1,SOLID
OL_JS02_SOLID_X13_D02,JS02_SOLID,13,1,2,SOLID
OL_JS02_SOLID_X13_D01,JS02_SOLID,13,2,1,SOLID
OL_JS02_SOLID_X14_D01,JS02_SOLID,14,2,1,SOLID
OL_JS04_SOLID_X14_D02,JS04_SOLID,14,4,2,SOLID
OL_JS04_SOLID_X14_D01,JS04_SOLID,14,5,1,SOLID
OL_JS04_SOLID_X15_D01,JS04_SOLID,15,5,1,SOLID
