recipe_id,order,source_link_id,source_support_id,target_support_id,mode,gap_air,rise,required_route,direction,takeoff_x,takeoff_y,landing_x,landing_y,grab_edge_id,validation_state,contract_accepted
JUMP012_MIXED_MX,0,JS_LINK_00,JS00_ENTRY_SOLID,JS01_ONE_WAY,JUMP,3,1,true,RIGHT_TO_LEFT,21,2,17,3,,PLANNED,true
JUMP012_MIXED_MX,1,JS_LINK_01,JS01_ONE_WAY,JS02_SOLID,JUMP,3,1,true,RIGHT_TO_LEFT,15,3,11,4,,PLANNED,true
JUMP012_MIXED_MX,2,JS_LINK_02,JS02_SOLID,JS03_ONE_WAY,JUMP,3,1,true,RIGHT_TO_LEFT,9,4,5,5,,PLANNED,true
JUMP012_MIXED_MX,3,JS_LINK_03,JS03_ONE_WAY,JS04_SOLID,JUMP_GRAB,2,2,true,LEFT_TO_RIGHT,5,5,8,7,JS04_RIGHT_GRAB,PLANNED,true
JUMP012_MIXED_MX,4,JS_LINK_04,JS04_SOLID,JS05_ONE_WAY,JUMP,2,0,true,LEFT_TO_RIGHT,9,7,12,7,,PLANNED,true
JUMP012_MIXED_MX,5,JS_LINK_05,JS05_ONE_WAY,JS06_SOLID,JUMP,2,1,true,LEFT_TO_RIGHT,14,7,17,8,,PLANNED,true
JUMP012_MIXED_MX,6,JS_LINK_06,JS06_SOLID,JS07_ONE_WAY,JUMP,2,1,true,LEFT_TO_RIGHT,19,8,22,9,,PLANNED,true
JUMP012_MIXED_MX,7,JS_LINK_07,JS07_ONE_WAY,JS08_SOLID,JUMP,1,1,true,RIGHT_TO_LEFT,22,9,20,10,,PLANNED,true
JUMP012_MIXED_MX,8,JS_LINK_08,JS08_SOLID,JS09_EXIT_ONE_WAY,JUMP,2,1,true,RIGHT_TO_LEFT,19,10,16,11,,PLANNED,true
JUMP012_MIXED_R0,0,JS_LINK_00,JS00_ENTRY_SOLID,JS01_ONE_WAY,JUMP,3,1,true,LEFT_TO_RIGHT,2,2,6,3,,PLANNED,true
JUMP012_MIXED_R0,1,JS_LINK_01,JS01_ONE_WAY,JS02_SOLID,JUMP,3,1,true,LEFT_TO_RIGHT,8,3,12,4,,PLANNED,true
JUMP012_MIXED_R0,2,JS_LINK_02,JS02_SOLID,JS03_ONE_WAY,JUMP,3,1,true,LEFT_TO_RIGHT,14,4,18,5,,PLANNED,true
JUMP012_MIXED_R0,3,JS_LINK_03,JS03_ONE_WAY,JS04_SOLID,JUMP_GRAB,2,2,true,RIGHT_TO_LEFT,18,5,15,7,JS04_RIGHT_GRAB,PLANNED,true
JUMP012_MIXED_R0,4,JS_LINK_04,JS04_SOLID,JS05_ONE_WAY,JUMP,2,0,true,RIGHT_TO_LEFT,14,7,11,7,,PLANNED,true
JUMP012_MIXED_R0,5,JS_LINK_05,JS05_ONE_WAY,JS06_SOLID,JUMP,2,1,true,RIGHT_TO_LEFT,9,7,6,8,,PLANNED,true
JUMP012_MIXED_R0,6,JS_LINK_06,JS06_SOLID,JS07_ONE_WAY,JUMP,2,1,true,RIGHT_TO_LEFT,4,8,1,9,,PLANNED,true
JUMP012_MIXED_R0,7,JS_LINK_07,JS07_ONE_WAY,JS08_SOLID,JUMP,1,1,true,LEFT_TO_RIGHT,1,9,3,10,,PLANNED,true
JUMP012_MIXED_R0,8,JS_LINK_08,JS08_SOLID,JS09_EXIT_ONE_WAY,JUMP,2,1,true,LEFT_TO_RIGHT,4,10,7,11,,PLANNED,true
