recipe_id,source_support_id,kind,height,x,y,width,top_y,top_x_min,top_x_max,validation_state
JUMP012_MIXED_MX,JS00_ENTRY_SOLID,SOLID,1,21,1,3,2,21,23,STATIC_SCREEN
JUMP012_MIXED_MX,JS01_ONE_WAY,ONE_WAY,1,15,2,3,3,15,17,STATIC_SCREEN
JUMP012_MIXED_MX,JS02_SOLID,SOLID,1,9,3,3,4,9,11,STATIC_SCREEN
JUMP012_MIXED_MX,JS03_ONE_WAY,ONE_WAY,1,3,4,3,5,3,5,STATIC_SCREEN
JUMP012_MIXED_MX,JS04_SOLID,SOLID,1,8,6,2,7,8,9,STATIC_SCREEN
JUMP012_MIXED_MX,JS05_ONE_WAY,ONE_WAY,1,12,6,3,7,12,14,STATIC_SCREEN
JUMP012_MIXED_MX,JS06_SOLID,SOLID,1,17,7,3,8,17,19,STATIC_SCREEN
JUMP012_MIXED_MX,JS07_ONE_WAY,ONE_WAY,1,22,8,2,9,22,23,STATIC_SCREEN
JUMP012_MIXED_MX,JS08_SOLID,SOLID,1,19,9,2,10,19,20,STATIC_SCREEN
JUMP012_MIXED_MX,JS09_EXIT_ONE_WAY,ONE_WAY,1,14,10,3,11,14,16,STATIC_SCREEN
JUMP012_MIXED_R0,JS00_ENTRY_SOLID,SOLID,1,0,1,3,2,0,2,STATIC_SCREEN
JUMP012_MIXED_R0,JS01_ONE_WAY,ONE_WAY,1,6,2,3,3,6,8,STATIC_SCREEN
JUMP012_MIXED_R0,JS02_SOLID,SOLID,1,12,3,3,4,12,14,STATIC_SCREEN
JUMP012_MIXED_R0,JS03_ONE_WAY,ONE_WAY,1,18,4,3,5,18,20,STATIC_SCREEN
JUMP012_MIXED_R0,JS04_SOLID,SOLID,1,14,6,2,7,14,15,STATIC_SCREEN
JUMP012_MIXED_R0,JS05_ONE_WAY,ONE_WAY,1,9,6,3,7,9,11,STATIC_SCREEN
JUMP012_MIXED_R0,JS06_SOLID,SOLID,1,4,7,3,8,4,6,STATIC_SCREEN
JUMP012_MIXED_R0,JS07_ONE_WAY,ONE_WAY,1,0,8,2,9,0,1,STATIC_SCREEN
JUMP012_MIXED_R0,JS08_SOLID,SOLID,1,3,9,2,10,3,4,STATIC_SCREEN
JUMP012_MIXED_R0,JS09_EXIT_ONE_WAY,ONE_WAY,1,7,10,3,11,7,9,STATIC_SCREEN
