x,y,cell
0,0,A
1,0,A
2,0,A
3,0,A
4,0,S
5,0,S
6,0,S
7,0,S
8,0,S
9,0,S
10,0,S
11,0,S
12,0,S
13,0,S
14,0,S
15,0,S
16,0,S
17,0,S
18,0,S
19,0,S
20,0,S
21,0,S
22,0,S
23,0,S
0,1,S
1,1,S
2,1,S
3,1,S
4,1,S
5,1,S
6,1,S
7,1,S
8,1,S
9,1,S
10,1,S
11,1,S
12,1,S
13,1,S
14,1,S
15,1,S
16,1,S
17,1,S
18,1,S
19,1,S
20,1,S
21,1,S
22,1,S
23,1,S
0,2,S
1,2,S
2,2,A
3,2,O
4,2,O
5,2,A
6,2,A
7,2,A
8,2,A
9,2,A
10,2,A
11,2,A
12,2,A
13,2,A
14,2,A
15,2,A
16,2,A
17,2,A
18,2,A
19,2,A
20,2,A
21,2,A
22,2,S
23,2,S
0,3,A
1,3,A
2,3,A
3,3,A
4,3,A
5,3,A
6,3,A
7,3,A
8,3,O
9,3,O
10,3,A
11,3,A
12,3,A
13,3,A
14,3,A
15,3,A
16,3,A
17,3,A
18,3,A
19,3,A
20,3,A
21,3,A
22,3,S
23,3,S
0,4,A
1,4,A
2,4,A
3,4,A
4,4,A
5,4,A
6,4,A
7,4,A
8,4,A
9,4,A
10,4,A
11,4,A
12,4,A
13,4,A
14,4,O
15,4,O
16,4,A
17,4,A
18,4,A
19,4,A
20,4,A
21,4,A
22,4,S
23,4,A
0,5,A
1,5,A
2,5,A
3,5,A
4,5,A
5,5,A
6,5,A
7,5,A
8,5,A
9,5,A
10,5,A
11,5,A
12,5,A
13,5,A
14,5,A
15,5,A
16,5,A
17,5,A
18,5,A
19,5,O
20,5,O
21,5,A
22,5,S
23,5,A
0,6,S
1,6,S
2,6,A
3,6,A
4,6,A
5,6,A
6,6,A
7,6,A
8,6,A
9,6,A
10,6,A
11,6,A
12,6,A
13,6,A
14,6,O
15,6,O
16,6,A
17,6,A
18,6,A
19,6,A
20,6,A
21,6,A
22,6,S
23,6,A
0,7,S
1,7,S
2,7,A
3,7,A
4,7,A
5,7,A
6,7,A
7,7,A
8,7,O
9,7,O
10,7,A
11,7,A
12,7,A
13,7,A
14,7,A
15,7,A
16,7,A
17,7,A
18,7,A
19,7,A
20,7,A
21,7,A
22,7,S
23,7,S
0,8,S
1,8,S
2,8,A
3,8,O
4,8,O
5,8,A
6,8,A
7,8,A
8,8,A
9,8,A
10,8,A
11,8,A
12,8,A
13,8,A
14,8,A
15,8,A
16,8,A
17,8,A
18,8,A
19,8,A
20,8,A
21,8,A
22,8,S
23,8,S
0,9,S
1,9,S
2,9,A
3,9,A
4,9,A
5,9,A
6,9,A
7,9,A
8,9,O
9,9,O
10,9,A
11,9,A
12,9,A
13,9,A
14,9,A
15,9,A
16,9,A
17,9,A
18,9,A
19,9,A
20,9,A
21,9,A
22,9,S
23,9,S
0,10,S
1,10,S
2,10,A
3,10,A
4,10,A
5,10,A
6,10,A
7,10,A
8,10,A
9,10,A
10,10,A
11,10,A
12,10,A
13,10,A
14,10,O
15,10,O
16,10,A
17,10,A
18,10,A
19,10,A
20,10,A
21,10,A
22,10,S
23,10,S
0,11,S
1,11,S
2,11,A
3,11,A
4,11,A
5,11,A
6,11,A
7,11,A
8,11,A
9,11,A
10,11,A
11,11,A
12,11,A
13,11,A
14,11,A
15,11,A
16,11,A
17,11,A
18,11,A
19,11,O
20,11,O
21,11,A
22,11,S
23,11,S
0,12,S
1,12,S
2,12,A
3,12,A
4,12,A
5,12,A
6,12,A
7,12,A
8,12,A
9,12,A
10,12,A
11,12,A
12,12,A
13,12,A
14,12,O
15,12,O
16,12,A
17,12,A
18,12,A
19,12,A
20,12,A
21,12,A
22,12,S
23,12,S
0,13,S
1,13,S
2,13,A
3,13,A
4,13,A
5,13,A
6,13,A
7,13,A
8,13,O
9,13,O
10,13,A
11,13,A
12,13,A
13,13,A
14,13,A
15,13,A
16,13,A
17,13,A
18,13,A
19,13,A
20,13,A
21,13,A
22,13,S
23,13,S
0,14,S
1,14,S
2,14,A
3,14,O
4,14,O
5,14,A
6,14,A
7,14,A
8,14,A
9,14,A
10,14,A
11,14,A
12,14,A
13,14,A
14,14,A
15,14,A
16,14,A
17,14,A
18,14,A
19,14,A
20,14,A
21,14,A
22,14,S
23,14,S
0,15,S
1,15,S
2,15,A
3,15,A
4,15,A
5,15,A
6,15,A
7,15,A
8,15,O
9,15,O
10,15,A
11,15,A
12,15,A
13,15,A
14,15,A
15,15,A
16,15,A
17,15,A
18,15,A
19,15,A
20,15,A
21,15,A
22,15,S
23,15,A
0,16,S
1,16,S
2,16,A
3,16,A
4,16,A
5,16,A
6,16,A
7,16,A
8,16,A
9,16,A
10,16,A
11,16,A
12,16,A
13,16,A
14,16,O
15,16,O
16,16,A
17,16,A
18,16,A
19,16,A
20,16,A
21,16,A
22,16,S
23,16,A
0,17,S
1,17,S
2,17,A
3,17,A
4,17,A
5,17,A
6,17,A
7,17,A
8,17,A
9,17,A
10,17,A
11,17,A
12,17,A
13,17,A
14,17,A
15,17,A
16,17,A
17,17,A
18,17,A
19,17,O
20,17,O
21,17,A
22,17,S
23,17,A
0,18,S
1,18,S
2,18,A
3,18,A
4,18,A
5,18,A
6,18,A
7,18,A
8,18,A
9,18,A
10,18,A
11,18,A
12,18,A
13,18,A
14,18,O
15,18,O
16,18,A
17,18,A
18,18,A
19,18,A
20,18,A
21,18,A
22,18,S
23,18,S
0,19,S
1,19,S
2,19,A
3,19,A
4,19,A
5,19,A
6,19,A
7,19,A
8,19,O
9,19,O
10,19,A
11,19,A
12,19,A
13,19,A
14,19,A
15,19,A
16,19,A
17,19,A
18,19,A
19,19,A
20,19,A
21,19,A
22,19,S
23,19,A
0,20,S
1,20,S
2,20,A
3,20,O
4,20,O
5,20,A
6,20,A
7,20,A
8,20,A
9,20,A
10,20,A
11,20,A
12,20,A
13,20,A
14,20,A
15,20,A
16,20,A
17,20,A
18,20,A
19,20,A
20,20,A
21,20,A
22,20,S
23,20,A
0,21,S
1,21,S
2,21,A
3,21,A
4,21,A
5,21,A
6,21,A
7,21,A
8,21,O
9,21,O
10,21,A
11,21,A
12,21,A
13,21,A
14,21,A
15,21,A
16,21,A
17,21,A
18,21,A
19,21,A
20,21,A
21,21,A
22,21,S
23,21,A
0,22,S
1,22,S
2,22,A
3,22,A
4,22,A
5,22,A
6,22,A
7,22,A
8,22,A
9,22,A
10,22,A
11,22,A
12,22,A
13,22,A
14,22,O
15,22,O
16,22,A
17,22,A
18,22,A
19,22,A
20,22,A
21,22,A
22,22,S
23,22,S
0,23,S
1,23,S
2,23,A
3,23,A
4,23,A
5,23,A
6,23,A
7,23,A
8,23,A
9,23,A
10,23,A
11,23,A
12,23,A
13,23,A
14,23,A
15,23,A
16,23,A
17,23,A
18,23,A
19,23,O
20,23,O
21,23,A
22,23,S
23,23,S
0,24,S
1,24,S
2,24,A
3,24,A
4,24,A
5,24,A
6,24,A
7,24,A
8,24,A
9,24,A
10,24,A
11,24,A
12,24,A
13,24,A
14,24,A
15,24,A
16,24,A
17,24,A
18,24,A
19,24,A
20,24,A
21,24,A
22,24,A
23,24,A
0,25,S
1,25,S
2,25,A
3,25,A
4,25,A
5,25,A
6,25,A
7,25,A
8,25,A
9,25,A
10,25,A
11,25,A
12,25,A
13,25,A
14,25,A
15,25,A
16,25,A
17,25,A
18,25,A
19,25,A
20,25,A
