x,y,before,draft_after
0,0,A,S
1,0,A,S
2,0,A,S
3,0,A,S
2,2,A,S
3,2,O,S
4,2,O,S
5,2,A,S
6,2,A,S
7,2,A,S
8,2,A,S
9,2,A,S
10,2,A,S
11,2,A,S
12,2,A,S
13,2,A,S
14,2,A,S
15,2,A,S
16,2,A,S
17,2,A,S
18,2,A,S
19,2,A,S
20,2,A,S
21,2,A,S
7,3,A,S
8,3,O,S
9,3,O,S
14,4,O,A
15,4,O,A
23,4,A,S
12,5,A,S
13,5,A,S
14,5,A,S
19,5,O,A
20,5,O,A
23,5,A,S
14,6,O,A
15,6,O,A
17,6,A,O
18,6,A,O
23,6,A,S
8,7,O,A
9,7,O,A
12,7,A,O
13,7,A,O
3,8,O,A
4,8,O,A
7,8,A,O
8,8,A,O
2,9,A,S
3,9,A,S
4,9,A,S
8,9,O,A
9,9,O,A
21,9,A,S
7,10,A,O
8,10,A,O
14,10,O,A
15,10,O,A
21,10,A,S
12,11,A,O
13,11,A,O
19,11,O,A
20,11,O,A
21,11,A,S
2,12,A,S
14,12,O,A
15,12,O,A
17,12,A,O
18,12,A,O
2,13,A,S
8,13,O,A
9,13,O,A
12,13,A,S
13,13,A,S
14,13,A,S
2,14,A,S
3,14,O,A
4,14,O,A
7,14,A,O
8,14,A,O
2,15,A,S
3,15,A,S
4,15,A,S
8,15,O,A
9,15,O,A
23,15,A,S
7,16,A,O
8,16,A,O
14,16,O,A
15,16,O,A
23,16,A,S
12,17,A,O
13,17,A,O
19,17,O,A
20,17,O,A
23,17,A,S
14,18,O,A
15,18,O,A
17,18,A,O
18,18,A,O
8,19,O,A
9,19,O,A
12,19,A,S
13,19,A,S
14,19,A,S
23,19,A,S
3,20,O,A
4,20,O,A
7,20,A,O
8,20,A,O
23,20,A,S
2,21,A,S
3,21,A,S
4,21,A,S
8,21,O,A
9,21,O,A
23,21,A,S
7,22,A,O
8,22,A,O
14,22,O,A
15,22,O,A
12,23,A,O
13,23,A,O
17,23,A,O
18,23,A,O
19,23,O,A
20,23,O,A
21,23,A,S
8,29,A,S
9,29,A,S
10,29,A,S
11,29,A,S
12,29,A,S
4,31,O,S
5,31,A,S
6,31,O,S
7,31,A,S
8,31,A,S
9,31,A,S
10,31,A,S
