recipe_id,order,source_link_id,mode,direction,source_takeoff_x,source_takeoff_y,takeoff_x,takeoff_y,landing_x,landing_y,endpoint_adjusted,correction_id,trace_states,clearance_pass,diagnostic
JUMP012_MIXED_MX,0,JS_LINK_00,JUMP,RIGHT_TO_LEFT,21,2,21,2,17,3,false,,5,true,
JUMP012_MIXED_MX,1,JS_LINK_01,JUMP,RIGHT_TO_LEFT,15,3,15,3,11,4,false,,5,true,
JUMP012_MIXED_MX,2,JS_LINK_02,JUMP,RIGHT_TO_LEFT,9,4,10,4,5,5,true,SV5_18_ENDPOINT_FIX01,9,true,
JUMP012_MIXED_MX,3,JS_LINK_03,JUMP_GRAB,LEFT_TO_RIGHT,5,5,5,5,8,7,false,,4,true,
JUMP012_MIXED_MX,4,JS_LINK_04,JUMP,LEFT_TO_RIGHT,9,7,9,7,12,7,false,,4,true,
JUMP012_MIXED_MX,5,JS_LINK_05,JUMP,LEFT_TO_RIGHT,14,7,14,7,17,8,false,,4,true,
JUMP012_MIXED_MX,6,JS_LINK_06,JUMP,LEFT_TO_RIGHT,19,8,18,8,22,9,true,SV5_18_ENDPOINT_FIX01,7,true,
JUMP012_MIXED_MX,7,JS_LINK_07,JUMP,RIGHT_TO_LEFT,22,9,22,9,20,10,false,,3,true,
JUMP012_MIXED_MX,8,JS_LINK_08,JUMP,RIGHT_TO_LEFT,19,10,19,10,16,11,false,,4,true,
JUMP012_MIXED_R0,0,JS_LINK_00,JUMP,LEFT_TO_RIGHT,2,2,2,2,6,3,false,,5,true,
JUMP012_MIXED_R0,1,JS_LINK_01,JUMP,LEFT_TO_RIGHT,8,3,8,3,12,4,false,,5,true,
JUMP012_MIXED_R0,2,JS_LINK_02,JUMP,LEFT_TO_RIGHT,14,4,13,4,18,5,true,SV5_18_ENDPOINT_FIX01,9,true,
JUMP012_MIXED_R0,3,JS_LINK_03,JUMP_GRAB,RIGHT_TO_LEFT,18,5,18,5,15,7,false,,4,true,
JUMP012_MIXED_R0,4,JS_LINK_04,JUMP,RIGHT_TO_LEFT,14,7,14,7,11,7,false,,4,true,
JUMP012_MIXED_R0,5,JS_LINK_05,JUMP,RIGHT_TO_LEFT,9,7,9,7,6,8,false,,4,true,
JUMP012_MIXED_R0,6,JS_LINK_06,JUMP,RIGHT_TO_LEFT,4,8,5,8,1,9,true,SV5_18_ENDPOINT_FIX01,7,true,
JUMP012_MIXED_R0,7,JS_LINK_07,JUMP,LEFT_TO_RIGHT,1,9,1,9,3,10,false,,3,true,
JUMP012_MIXED_R0,8,JS_LINK_08,JUMP,LEFT_TO_RIGHT,4,10,4,10,7,11,false,,4,true,
