recipe_id,link_order,source_link_id,sample_order,phase,foot_x,foot_y,body_x,body_y,head_x,head_y,body_clear,head_clear,contract_accepted
JUMP012_MIXED_MX,0,JS_LINK_00,0,TAKEOFF,21,2,21,2,21,3,true,true,true
JUMP012_MIXED_MX,0,JS_LINK_00,1,AIR,20,3,20,3,20,4,true,true,true
JUMP012_MIXED_MX,0,JS_LINK_00,2,AIR,19,3,19,3,19,4,true,true,true
JUMP012_MIXED_MX,0,JS_LINK_00,3,AIR,18,3,18,3,18,4,true,true,true
JUMP012_MIXED_MX,0,JS_LINK_00,4,LANDING,17,3,17,3,17,4,true,true,true
JUMP012_MIXED_MX,1,JS_LINK_01,0,TAKEOFF,15,3,15,3,15,4,true,true,true
JUMP012_MIXED_MX,1,JS_LINK_01,1,AIR,14,4,14,4,14,5,true,true,true
JUMP012_MIXED_MX,1,JS_LINK_01,2,AIR,13,4,13,4,13,5,true,true,true
JUMP012_MIXED_MX,1,JS_LINK_01,3,AIR,12,4,12,4,12,5,true,true,true
JUMP012_MIXED_MX,1,JS_LINK_01,4,LANDING,11,4,11,4,11,5,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,0,TAKEOFF,10,4,10,4,10,5,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,1,AIR,10,5,10,5,10,6,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,2,AIR,10,6,10,6,10,7,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,3,AIR,10,7,10,7,10,8,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,4,AIR,9,8,9,8,9,9,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,5,AIR,8,8,8,8,8,9,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,6,AIR,7,7,7,7,7,8,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,7,AIR,6,6,6,6,6,7,true,true,true
JUMP012_MIXED_MX,2,JS_LINK_02,8,LANDING,5,5,5,5,5,6,true,true,true
JUMP012_MIXED_MX,3,JS_LINK_03,0,TAKEOFF,5,5,5,5,5,6,true,true,true
JUMP012_MIXED_MX,3,JS_LINK_03,1,AIR,6,6,6,6,6,7,true,true,true
JUMP012_MIXED_MX,3,JS_LINK_03,2,HANG,7,6,7,6,7,7,true,true,true
JUMP012_MIXED_MX,3,JS_LINK_03,3,PULL_UP,8,7,8,7,8,8,true,true,true
JUMP012_MIXED_MX,4,JS_LINK_04,0,TAKEOFF,9,7,9,7,9,8,true,true,true
JUMP012_MIXED_MX,4,JS_LINK_04,1,AIR,10,8,10,8,10,9,true,true,true
JUMP012_MIXED_MX,4,JS_LINK_04,2,AIR,11,8,11,8,11,9,true,true,true
JUMP012_MIXED_MX,4,JS_LINK_04,3,LANDING,12,7,12,7,12,8,true,true,true
JUMP012_MIXED_MX,5,JS_LINK_05,0,TAKEOFF,14,7,14,7,14,8,true,true,true
JUMP012_MIXED_MX,5,JS_LINK_05,1,AIR,15,8,15,8,15,9,true,true,true
JUMP012_MIXED_MX,5,JS_LINK_05,2,AIR,16,8,16,8,16,9,true,true,true
JUMP012_MIXED_MX,5,JS_LINK_05,3,LANDING,17,8,17,8,17,9,true,true,true
JUMP012_MIXED_MX,6,JS_LINK_06,0,TAKEOFF,18,8,18,8,18,9,true,true,true
JUMP012_MIXED_MX,6,JS_LINK_06,1,AIR,18,9,18,9,18,10,true,true,true
JUMP012_MIXED_MX,6,JS_LINK_06,2,AIR,18,10,18,10,18,11,true,true,true
JUMP012_MIXED_MX,6,JS_LINK_06,3,AIR,19,11,19,11,19,12,true,true,true
JUMP012_MIXED_MX,6,JS_LINK_06,4,AIR,20,11,20,11,20,12,true,true,true
JUMP012_MIXED_MX,6,JS_LINK_06,5,AIR,21,10,21,10,21,11,true,true,true
JUMP012_MIXED_MX,6,JS_LINK_06,6,LANDING,22,9,22,9,22,10,true,true,true
JUMP012_MIXED_MX,7,JS_LINK_07,0,TAKEOFF,22,9,22,9,22,10,true,true,true
JUMP012_MIXED_MX,7,JS_LINK_07,1,AIR,21,10,21,10,21,11,true,true,true
JUMP012_MIXED_MX,7,JS_LINK_07,2,LANDING,20,10,20,10,20,11,true,true,true
JUMP012_MIXED_MX,8,JS_LINK_08,0,TAKEOFF,19,10,19,10,19,11,true,true,true
JUMP012_MIXED_MX,8,JS_LINK_08,1,AIR,18,11,18,11,18,12,true,true,true
JUMP012_MIXED_MX,8,JS_LINK_08,2,AIR,17,12,17,12,17,13,true,true,true
JUMP012_MIXED_MX,8,JS_LINK_08,3,LANDING,16,11,16,11,16,12,true,true,true
JUMP012_MIXED_R0,0,JS_LINK_00,0,TAKEOFF,2,2,2,2,2,3,true,true,true
JUMP012_MIXED_R0,0,JS_LINK_00,1,AIR,3,3,3,3,3,4,true,true,true
JUMP012_MIXED_R0,0,JS_LINK_00,2,AIR,4,3,4,3,4,4,true,true,true
JUMP012_MIXED_R0,0,JS_LINK_00,3,AIR,5,3,5,3,5,4,true,true,true
JUMP012_MIXED_R0,0,JS_LINK_00,4,LANDING,6,3,6,3,6,4,true,true,true
JUMP012_MIXED_R0,1,JS_LINK_01,0,TAKEOFF,8,3,8,3,8,4,true,true,true
JUMP012_MIXED_R0,1,JS_LINK_01,1,AIR,9,4,9,4,9,5,true,true,true
JUMP012_MIXED_R0,1,JS_LINK_01,2,AIR,10,4,10,4,10,5,true,true,true
JUMP012_MIXED_R0,1,JS_LINK_01,3,AIR,11,4,11,4,11,5,true,true,true
JUMP012_MIXED_R0,1,JS_LINK_01,4,LANDING,12,4,12,4,12,5,true,true,true
