recipe_id,route_id,link_order,recovery_link_id,mode,source_x,source_y,target_x,target_y,rise,trace_states
JUMP012_MIXED_MX,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,WALK,19,2,21,2,0,3
JUMP012_MIXED_MX,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,WALK,13,3,15,3,0,3
JUMP012_MIXED_MX,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,DROP,9,7,10,4,-3,5
JUMP012_MIXED_MX,RECOVERY_ROUTE_03,0,RECOVERY_ROUTE_03_LINK_00,WALK,6,5,5,5,0,2
JUMP012_MIXED_MX,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,DROP,19,10,18,8,-2,4
JUMP012_MIXED_R0,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,WALK,4,2,2,2,0,3
JUMP012_MIXED_R0,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,WALK,10,3,8,3,0,3
JUMP012_MIXED_R0,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,DROP,14,7,13,4,-3,5
JUMP012_MIXED_R0,RECOVERY_ROUTE_03,0,RECOVERY_ROUTE_03_LINK_00,WALK,17,5,18,5,0,2
JUMP012_MIXED_R0,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,DROP,4,10,5,8,-2,4
