recipe_id,failed_link_order,source_link_id,probe_order,source_sample_order,origin_x,origin_y,catch_source,catch_group_id,catch_x,catch_y,landing_body_x,landing_body_y,landing_head_x,landing_head_y,fall_distance,caught
JUMP012_MIXED_MX,0,JS_LINK_00,0,2,19,3,RECOVERY,RG_ENTRY_CATCH,19,1,19,2,19,3,1,true
JUMP012_MIXED_MX,1,JS_LINK_01,0,2,13,4,RECOVERY,RG_MID_CATCH,13,2,13,3,13,4,1,true
JUMP012_MIXED_MX,2,JS_LINK_02,0,4,9,8,BASE,,9,6,9,7,9,8,1,true
JUMP012_MIXED_MX,3,JS_LINK_03,0,1,6,6,RECOVERY,RG_GRAB_CATCH,6,4,6,5,6,6,1,true
JUMP012_MIXED_MX,4,JS_LINK_04,0,1,10,8,BASE,,10,3,10,4,10,5,4,true
JUMP012_MIXED_MX,5,JS_LINK_05,0,1,15,8,BASE,,15,2,15,3,15,4,5,true
JUMP012_MIXED_MX,6,JS_LINK_06,0,3,19,11,BASE,,19,9,19,10,19,11,1,true
JUMP012_MIXED_MX,7,JS_LINK_07,0,1,21,10,BASE,,21,1,21,2,21,3,8,true
JUMP012_MIXED_MX,8,JS_LINK_08,0,1,18,11,BASE,,18,7,18,8,18,9,3,true
JUMP012_MIXED_R0,0,JS_LINK_00,0,2,4,3,RECOVERY,RG_ENTRY_CATCH,4,1,4,2,4,3,1,true
JUMP012_MIXED_R0,1,JS_LINK_01,0,2,10,4,RECOVERY,RG_MID_CATCH,10,2,10,3,10,4,1,true
JUMP012_MIXED_R0,2,JS_LINK_02,0,4,14,8,BASE,,14,6,14,7,14,8,1,true
JUMP012_MIXED_R0,3,JS_LINK_03,0,1,17,6,RECOVERY,RG_GRAB_CATCH,17,4,17,5,17,6,1,true
JUMP012_MIXED_R0,4,JS_LINK_04,0,1,13,8,BASE,,13,3,13,4,13,5,4,true
JUMP012_MIXED_R0,5,JS_LINK_05,0,1,8,8,BASE,,8,2,8,3,8,4,5,true
JUMP012_MIXED_R0,6,JS_LINK_06,0,3,4,11,BASE,,4,9,4,10,4,11,1,true
JUMP012_MIXED_R0,7,JS_LINK_07,0,1,2,10,BASE,,2,1,2,2,2,3,8,true
JUMP012_MIXED_R0,8,JS_LINK_08,0,1,5,11,BASE,,5,7,5,8,5,9,3,true
