recipe_id,route_id,failed_link_order,checkpoint_link_order,route_kind,start_x,start_y,end_x,end_y,recovery_link_ids,recovery_pass,reverse_required,diagnostic
JUMP012_MIXED_MX,RECOVERY_ROUTE_00,0,0,LINKED,19,2,21,2,RECOVERY_ROUTE_00_LINK_00,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_01,1,1,LINKED,13,3,15,3,RECOVERY_ROUTE_01_LINK_00,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_02,2,2,LINKED,9,7,10,4,RECOVERY_ROUTE_02_LINK_00,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_03,3,3,LINKED,6,5,5,5,RECOVERY_ROUTE_03_LINK_00,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_04,4,2,ALREADY_AT_CHECKPOINT,10,4,10,4,,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_05,5,1,ALREADY_AT_CHECKPOINT,15,3,15,3,,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_06,6,6,LINKED,19,10,18,8,RECOVERY_ROUTE_06_LINK_00,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_07,7,0,ALREADY_AT_CHECKPOINT,21,2,21,2,,true,false,
JUMP012_MIXED_MX,RECOVERY_ROUTE_08,8,6,ALREADY_AT_CHECKPOINT,18,8,18,8,,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_00,0,0,LINKED,4,2,2,2,RECOVERY_ROUTE_00_LINK_00,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_01,1,1,LINKED,10,3,8,3,RECOVERY_ROUTE_01_LINK_00,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_02,2,2,LINKED,14,7,13,4,RECOVERY_ROUTE_02_LINK_00,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_03,3,3,LINKED,17,5,18,5,RECOVERY_ROUTE_03_LINK_00,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_04,4,2,ALREADY_AT_CHECKPOINT,13,4,13,4,,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_05,5,1,ALREADY_AT_CHECKPOINT,8,3,8,3,,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_06,6,6,LINKED,4,10,5,8,RECOVERY_ROUTE_06_LINK_00,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_07,7,0,ALREADY_AT_CHECKPOINT,2,2,2,2,,true,false,
JUMP012_MIXED_R0,RECOVERY_ROUTE_08,8,6,ALREADY_AT_CHECKPOINT,5,8,5,8,,true,false,
