recipe_id,route_id,recovery_link_order,recovery_link_id,sample_order,phase,body_x,body_y,head_x,head_y,body_clear,head_clear,contract_accepted
JUMP012_MIXED_MX,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,0,SOURCE,19,2,19,3,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,1,TRANSIT,20,2,20,3,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,2,TARGET,21,2,21,3,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,0,SOURCE,13,3,13,4,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,1,TRANSIT,14,3,14,4,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,2,TARGET,15,3,15,4,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,0,SOURCE,9,7,9,8,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,1,TRANSIT,10,7,10,8,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,2,TRANSIT,10,6,10,7,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,3,TRANSIT,10,5,10,6,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,4,TARGET,10,4,10,5,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_03,0,RECOVERY_ROUTE_03_LINK_00,0,SOURCE,6,5,6,6,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_03,0,RECOVERY_ROUTE_03_LINK_00,1,TARGET,5,5,5,6,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,0,SOURCE,19,10,19,11,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,1,TRANSIT,18,10,18,11,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,2,TRANSIT,18,9,18,10,true,true,true
JUMP012_MIXED_MX,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,3,TARGET,18,8,18,9,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,0,SOURCE,4,2,4,3,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,1,TRANSIT,3,2,3,3,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_00,0,RECOVERY_ROUTE_00_LINK_00,2,TARGET,2,2,2,3,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,0,SOURCE,10,3,10,4,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,1,TRANSIT,9,3,9,4,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_01,0,RECOVERY_ROUTE_01_LINK_00,2,TARGET,8,3,8,4,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,0,SOURCE,14,7,14,8,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,1,TRANSIT,13,7,13,8,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,2,TRANSIT,13,6,13,7,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,3,TRANSIT,13,5,13,6,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_02,0,RECOVERY_ROUTE_02_LINK_00,4,TARGET,13,4,13,5,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_03,0,RECOVERY_ROUTE_03_LINK_00,0,SOURCE,17,5,17,6,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_03,0,RECOVERY_ROUTE_03_LINK_00,1,TARGET,18,5,18,6,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,0,SOURCE,4,10,4,11,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,1,TRANSIT,5,10,5,11,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,2,TRANSIT,5,9,5,10,true,true,true
JUMP012_MIXED_R0,RECOVERY_ROUTE_06,0,RECOVERY_ROUTE_06_LINK_00,3,TARGET,5,8,5,9,true,true,true
