case_id,recipe_id,case_kind,main_link_order,effective_takeoff_x,effective_takeoff_y,effective_landing_x,effective_landing_y,terminal_body_x,terminal_body_y,geometry_patch_id,source_id,target_id,checkpoint_link_order,outcome,actual_player,actual_driver,actual_rigidbody2d,actual_collider2d,used_grab,used_one_way,used_item,reverse_required,teleports_after_start,fixed_steps,measured_rise_cells,first_catch_matched,grabbed_platform
FULL_MX,JUMP012_MIXED_MX,FULL_ROUTE,8,19,10,16,11,16,11,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_00,JS_LINK_08_TARGET,-1,PASS,true,true,true,true,true,true,false,false,0,555,2,true,false
FULL_R0,JUMP012_MIXED_R0,FULL_ROUTE,8,4,10,7,11,7,11,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_00,JS_LINK_08_TARGET,-1,PASS,true,true,true,true,true,true,false,false,0,555,2,true,false
MAIN_MX_00,JUMP012_MIXED_MX,MAIN_LINK,0,21,2,17,3,17,3,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_00,MAIN_TARGET_00,-1,PASS,true,true,true,true,false,true,false,false,0,71,1,true,false
MAIN_MX_01,JUMP012_MIXED_MX,MAIN_LINK,1,15,3,11,4,11,4,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_01,MAIN_TARGET_01,-1,PASS,true,true,true,true,false,true,false,false,0,71,1,true,false
MAIN_MX_02,JUMP012_MIXED_MX,MAIN_LINK,2,10,4,6,5,7,5,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_02,MAIN_TARGET_02,-1,PASS,true,true,true,true,false,true,false,false,0,43,1,true,false
MAIN_MX_03,JUMP012_MIXED_MX,MAIN_LINK,3,5,5,8,7,8,7,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_03,MAIN_TARGET_03,-1,PASS,true,true,true,true,true,true,false,false,0,101,2,true,false
MAIN_MX_04,JUMP012_MIXED_MX,MAIN_LINK,4,9,7,12,7,12,7,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_04,MAIN_TARGET_04,-1,PASS,true,true,true,true,false,true,false,false,0,49,0,true,false
MAIN_MX_05,JUMP012_MIXED_MX,MAIN_LINK,5,14,7,17,8,17,8,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_05,MAIN_TARGET_05,-1,PASS,true,true,true,true,false,true,false,false,0,37,1,true,false
MAIN_MX_06,JUMP012_MIXED_MX,MAIN_LINK,6,18,8,22,9,22,9,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_06,MAIN_TARGET_06,-1,PASS,true,true,true,true,false,true,false,false,0,49,1,true,false
MAIN_MX_07,JUMP012_MIXED_MX,MAIN_LINK,7,22,9,20,10,20,10,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_07,MAIN_TARGET_07,-1,PASS,true,true,true,true,false,true,false,false,0,37,1,true,false
MAIN_MX_08,JUMP012_MIXED_MX,MAIN_LINK,8,19,10,16,11,16,11,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_08,MAIN_TARGET_08,-1,PASS,true,true,true,true,false,true,false,false,0,37,1,true,false
MAIN_R0_00,JUMP012_MIXED_R0,MAIN_LINK,0,2,2,6,3,6,3,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_00,MAIN_TARGET_00,-1,PASS,true,true,true,true,false,true,false,false,0,71,1,true,false
MAIN_R0_01,JUMP012_MIXED_R0,MAIN_LINK,1,8,3,12,4,12,4,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_01,MAIN_TARGET_01,-1,PASS,true,true,true,true,false,true,false,false,0,71,1,true,false
MAIN_R0_02,JUMP012_MIXED_R0,MAIN_LINK,2,13,4,17,5,16,5,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_02,MAIN_TARGET_02,-1,PASS,true,true,true,true,false,true,false,false,0,43,1,true,false
MAIN_R0_03,JUMP012_MIXED_R0,MAIN_LINK,3,18,5,15,7,15,7,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_03,MAIN_TARGET_03,-1,PASS,true,true,true,true,true,true,false,false,0,101,2,true,false
