recipe_id,x,y,collision,source_layer,owner_id
JUMP012_MIXED_MX,3,4,TOP_ONLY,SV5_17_BASE,JS03_ONE_WAY
JUMP012_MIXED_MX,4,4,TOP_ONLY,SV5_17_BASE,JS03_ONE_WAY
JUMP012_MIXED_MX,5,4,TOP_ONLY,SV5_17_BASE,JS03_ONE_WAY
JUMP012_MIXED_MX,6,4,TOP_ONLY,SV5_19_RECOVERY,RG_GRAB_CATCH
JUMP012_MIXED_MX,7,4,TOP_ONLY,SV5_19_RECOVERY,RG_GRAB_CATCH
JUMP012_MIXED_MX,8,6,SOLID,SV5_17_BASE,JS04_SOLID
JUMP012_MIXED_MX,9,2,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_MX,9,3,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_MX,9,6,TOP_ONLY,SV5_20_FIX03,SV5_20_FIX03_JS04_PASS_THROUGH
JUMP012_MIXED_MX,10,1,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_MX,10,2,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_MX,10,3,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_MX,11,2,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_MX,11,3,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_MX,12,2,TOP_ONLY,SV5_19_RECOVERY,RG_MID_CATCH
JUMP012_MIXED_MX,12,6,TOP_ONLY,SV5_17_BASE,JS05_ONE_WAY
JUMP012_MIXED_MX,13,2,TOP_ONLY,SV5_19_RECOVERY,RG_MID_CATCH
JUMP012_MIXED_MX,13,6,TOP_ONLY,SV5_17_BASE,JS05_ONE_WAY
JUMP012_MIXED_MX,14,2,TOP_ONLY,SV5_19_RECOVERY,RG_MID_CATCH
JUMP012_MIXED_MX,14,6,TOP_ONLY,SV5_17_BASE,JS05_ONE_WAY
JUMP012_MIXED_MX,14,10,TOP_ONLY,SV5_17_BASE,JS09_EXIT_ONE_WAY
JUMP012_MIXED_MX,15,2,TOP_ONLY,SV5_17_BASE,JS01_ONE_WAY
JUMP012_MIXED_MX,15,10,TOP_ONLY,SV5_17_BASE,JS09_EXIT_ONE_WAY
JUMP012_MIXED_MX,16,2,TOP_ONLY,SV5_17_BASE,JS01_ONE_WAY
JUMP012_MIXED_MX,16,10,TOP_ONLY,SV5_17_BASE,JS09_EXIT_ONE_WAY
JUMP012_MIXED_MX,17,2,TOP_ONLY,SV5_17_BASE,JS01_ONE_WAY
JUMP012_MIXED_MX,17,6,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,17,7,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,18,1,TOP_ONLY,SV5_19_RECOVERY,RG_ENTRY_CATCH
JUMP012_MIXED_MX,18,5,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,18,6,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,18,7,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,19,1,TOP_ONLY,SV5_19_RECOVERY,RG_ENTRY_CATCH
JUMP012_MIXED_MX,19,5,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,19,6,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,19,7,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_MX,19,9,TOP_ONLY,SV5_20_FIX03,SV5_20_FIX03_JS08_PASS_THROUGH
JUMP012_MIXED_MX,20,1,TOP_ONLY,SV5_19_RECOVERY,RG_ENTRY_CATCH
JUMP012_MIXED_MX,20,9,TOP_ONLY,SV5_20_FIX03,SV5_20_FIX03_JS08_PASS_THROUGH
JUMP012_MIXED_MX,21,1,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_MX,22,0,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_MX,22,1,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_MX,22,8,TOP_ONLY,SV5_17_BASE,JS07_ONE_WAY
JUMP012_MIXED_MX,23,0,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_MX,23,1,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_MX,23,8,TOP_ONLY,SV5_17_BASE,JS07_ONE_WAY
JUMP012_MIXED_R0,0,0,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_R0,0,1,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_R0,0,8,TOP_ONLY,SV5_17_BASE,JS07_ONE_WAY
JUMP012_MIXED_R0,1,0,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_R0,1,1,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_R0,1,8,TOP_ONLY,SV5_17_BASE,JS07_ONE_WAY
JUMP012_MIXED_R0,2,1,SOLID,SV5_17_BASE,JS00_ENTRY_SOLID
JUMP012_MIXED_R0,3,1,TOP_ONLY,SV5_19_RECOVERY,RG_ENTRY_CATCH
JUMP012_MIXED_R0,3,9,TOP_ONLY,SV5_20_FIX03,SV5_20_FIX03_JS08_PASS_THROUGH
JUMP012_MIXED_R0,4,1,TOP_ONLY,SV5_19_RECOVERY,RG_ENTRY_CATCH
JUMP012_MIXED_R0,4,5,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,4,6,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,4,7,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,4,9,TOP_ONLY,SV5_20_FIX03,SV5_20_FIX03_JS08_PASS_THROUGH
JUMP012_MIXED_R0,5,1,TOP_ONLY,SV5_19_RECOVERY,RG_ENTRY_CATCH
JUMP012_MIXED_R0,5,5,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,5,6,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,5,7,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,6,2,TOP_ONLY,SV5_17_BASE,JS01_ONE_WAY
JUMP012_MIXED_R0,6,6,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,6,7,SOLID,SV5_17_BASE,JS06_SOLID
JUMP012_MIXED_R0,7,2,TOP_ONLY,SV5_17_BASE,JS01_ONE_WAY
JUMP012_MIXED_R0,7,10,TOP_ONLY,SV5_17_BASE,JS09_EXIT_ONE_WAY
JUMP012_MIXED_R0,8,2,TOP_ONLY,SV5_17_BASE,JS01_ONE_WAY
JUMP012_MIXED_R0,8,10,TOP_ONLY,SV5_17_BASE,JS09_EXIT_ONE_WAY
