recipe_id,order,source_link_id,mode,takeoff_x,takeoff_y,landing_x,landing_y,walk_to_next_takeoff_x,walk_to_next_takeoff_y,geometry_patch_id
JUMP012_MIXED_MX,0,JS_LINK_00,JUMP,21,2,17,3,,,
JUMP012_MIXED_MX,1,JS_LINK_01,JUMP,15,3,11,4,,,
JUMP012_MIXED_MX,2,JS_LINK_02,JUMP,10,4,6,5,5,5,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE
JUMP012_MIXED_MX,3,JS_LINK_03,JUMP_GRAB,5,5,8,7,,,
JUMP012_MIXED_MX,4,JS_LINK_04,JUMP,9,7,12,7,,,
JUMP012_MIXED_MX,5,JS_LINK_05,JUMP,14,7,17,8,,,
JUMP012_MIXED_MX,6,JS_LINK_06,JUMP,18,8,22,9,,,
JUMP012_MIXED_MX,7,JS_LINK_07,JUMP,22,9,20,10,,,
JUMP012_MIXED_MX,8,JS_LINK_08,JUMP,19,10,16,11,,,
JUMP012_MIXED_R0,0,JS_LINK_00,JUMP,2,2,6,3,,,
JUMP012_MIXED_R0,1,JS_LINK_01,JUMP,8,3,12,4,,,
JUMP012_MIXED_R0,2,JS_LINK_02,JUMP,13,4,17,5,18,5,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE
JUMP012_MIXED_R0,3,JS_LINK_03,JUMP_GRAB,18,5,15,7,,,
JUMP012_MIXED_R0,4,JS_LINK_04,JUMP,14,7,11,7,,,
JUMP012_MIXED_R0,5,JS_LINK_05,JUMP,9,7,6,8,,,
JUMP012_MIXED_R0,6,JS_LINK_06,JUMP,5,8,1,9,,,
JUMP012_MIXED_R0,7,JS_LINK_07,JUMP,1,9,3,10,,,
JUMP012_MIXED_R0,8,JS_LINK_08,JUMP,4,10,7,11,,,
