resource_id,display_name_ko,resource_category,hud_destination,unique_per_world,max_quantity,pickup_prefab_id,active,notes
RES_GOLD,골드,GOLD,GOLD_COUNTER,0,99999,PREFAB_PICKUP_GENERIC,1,
RES_HEALING_FOOD,즉시 회복 음식,HEALTH,HEALTH,0,0,PREFAB_PICKUP_GENERIC,1,
RES_ROPE,로프,ROPE,ROPE_COUNTER,0,99,PREFAB_PICKUP_GENERIC,1,
RES_EXPLOSIVE_FUEL,폭약 연료,FUEL,FUEL_GAUGE,0,100,PREFAB_PICKUP_GENERIC,1,
RES_BAT_MINI,미니 전지,BATTERY,BATTERY_COUNTER,0,99,PREFAB_PICKUP_GENERIC,1,
RES_BAT_AIR_CANNON,공기포 전지,BATTERY,BATTERY_COUNTER,0,99,PREFAB_PICKUP_GENERIC,1,
RES_BAT_STANDARD,일반 폭탄 전지,BATTERY,BATTERY_COUNTER,0,99,PREFAB_PICKUP_GENERIC,1,
RES_BAT_MEGA,메가 폭탄 전지,BATTERY,BATTERY_COUNTER,0,99,PREFAB_PICKUP_GENERIC,1,
RES_BAT_GRENADE,수류탄 전지,BATTERY,BATTERY_COUNTER,0,99,PREFAB_PICKUP_GENERIC,1,
RES_TOOL_PICKAXE,곡괭이,TOOL,TOOL_SLOT,1,1,PREFAB_PICKUP_GENERIC,1,
RES_TOOL_SHOVEL,삽,TOOL,TOOL_SLOT,1,1,PREFAB_PICKUP_GENERIC,1,
RES_MOON_CORE_ORE,월핵 원석,CORE_RESOURCE,CORE_SLOT,1,1,PREFAB_PICKUP_GENERIC,1,
RES_CONDENSED_CASSIA_SAP,응축 계수수액,CORE_RESOURCE,CORE_SLOT,1,1,PREFAB_PICKUP_GENERIC,1,
RES_DEEP_STAR_YEAST,심층 별누룩,CORE_RESOURCE,CORE_SLOT,1,1,PREFAB_PICKUP_GENERIC,1,
RES_MILL_PART,방아 부품,FORGE_PART,CORE_SLOT,0,5,PREFAB_PICKUP_GENERIC,1,
RES_MOON_SEAL,월궁 인장,CORE_RESOURCE,CORE_SLOT,1,1,PREFAB_PICKUP_GENERIC,1,
RES_BP_PICKAXE,곡괭이 설계도 조각,BLUEPRINT_FRAGMENT,BLUEPRINT_PROGRESS,0,12,PREFAB_PICKUP_GENERIC,1,
RES_BP_SHOVEL,삽 설계도 조각,BLUEPRINT_FRAGMENT,BLUEPRINT_PROGRESS,0,12,PREFAB_PICKUP_GENERIC,1,
RES_SPECIAL_MOON_COMPASS,달빛 나침반,SPECIAL_ITEM,SPECIAL_SLOT,1,1,PREFAB_PICKUP_GENERIC,1,
RES_WORLD_MOON_DUST,월진 가루,WORLD_OBJECT,WORLD_ONLY,0,0,PREFAB_PICKUP_GENERIC,1,
