spawn_rule_id,resource_id,biome_ids,patch_roles,sector_route_types,allowed_slot_pool_ids,world_min,world_max,patch_min,patch_max,spawn_weight,min_distance_from_same_resource_tiles,mandatory_site_id,active,notes
SPAWN_CORE_MOON,RES_MOON_CORE_ORE,BIO_MOON_CRATER,CORE,1|2|3,POOL_SLOT_CORE_RESOURCE,1,1,1,1,100,0,SITE_MOON_CORE_METEOR,1,
SPAWN_CORE_SAP,RES_CONDENSED_CASSIA_SAP,BIO_CASSIA_ROOT,CORE,1|2|3,POOL_SLOT_CORE_RESOURCE,1,1,1,1,100,0,SITE_CASSIA_SAP_HEART,1,
SPAWN_CORE_YEAST,RES_DEEP_STAR_YEAST,BIO_MOON_DOUGH,CORE,1|2|3,POOL_SLOT_CORE_RESOURCE,1,1,1,1,100,0,SITE_DEEP_STAR_YEAST,1,
SPAWN_MILL_PART,RES_MILL_PART,BIO_ABANDONED_MILL,CORE|SATELLITE,0|1|2|3,POOL_SLOT_MILL_RESOURCE,3,8,1,4,70,12,,1,
SPAWN_GOLD_COMMON,RES_GOLD,BIO_MOON_CRATER|BIO_CASSIA_ROOT|BIO_ABANDONED_MILL|BIO_MOON_DOUGH,CORE|SATELLITE|INTRUSION,0|1|2|3,POOL_SLOT_COMMON_RESOURCE|POOL_SLOT_TYPE0_REWARD,20,80,2,20,100,6,,1,
SPAWN_FUEL_ROOT,RES_EXPLOSIVE_FUEL,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,CORE|SATELLITE,0|1|2|3,POOL_SLOT_ROOT_RESOURCE|POOL_SLOT_DOUGH_RESOURCE,8,24,1,8,70,10,,1,
SPAWN_PICKAXE,RES_TOOL_PICKAXE,BIO_MOON_CRATER|BIO_ABANDONED_MILL,SATELLITE|INTRUSION,0,POOL_SLOT_TYPE0_REWARD,0,1,0,1,8,80,,1,
SPAWN_SHOVEL,RES_TOOL_SHOVEL,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,SATELLITE|INTRUSION,0,POOL_SLOT_TYPE0_REWARD,0,1,0,1,8,80,,1,
SPAWN_BP_PICKAXE,RES_BP_PICKAXE,BIO_MOON_CRATER|BIO_ABANDONED_MILL,CORE|SATELLITE,0,POOL_SLOT_TYPE0_REWARD,3,12,0,4,20,30,,1,
SPAWN_BP_SHOVEL,RES_BP_SHOVEL,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,CORE|SATELLITE,0,POOL_SLOT_TYPE0_REWARD,3,12,0,4,20,30,,1,
