village_layout_id,local_chunk_x,local_chunk_y,cell_role,facility_slot_id,fixed_microchunk_id,microchunk_pool_id,required_entry_side,notes
VLAY_STANDARD_5_A,0,0,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_5_A,1,0,FACILITY_SLOT,FAC_SLOT_05,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_5_A,2,0,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_5_A,3,0,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_5_A,0,1,ENTRY,,MC_VILLAGE_ROAD_01,,L,
VLAY_STANDARD_5_A,1,1,PLAZA,,MC_VILLAGE_PLAZA_01,,,
VLAY_STANDARD_5_A,2,1,PLAZA,,MC_VILLAGE_PLAZA_01,,,
VLAY_STANDARD_5_A,3,1,ENTRY,,MC_VILLAGE_ROAD_01,,R,
VLAY_STANDARD_5_A,0,2,FACILITY_SLOT,FAC_SLOT_01,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_5_A,1,2,FACILITY_SLOT,FAC_SLOT_02,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_5_A,2,2,FACILITY_SLOT,FAC_SLOT_03,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_5_A,3,2,FACILITY_SLOT,FAC_SLOT_04,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_5_A,0,3,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_5_A,1,3,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_5_A,2,3,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_5_A,3,3,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_6_A,0,0,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_6_A,1,0,FACILITY_SLOT,FAC_SLOT_05,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_6_A,2,0,FACILITY_SLOT,FAC_SLOT_06,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_6_A,3,0,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_6_A,0,1,ENTRY,,MC_VILLAGE_ROAD_01,,L,
VLAY_STANDARD_6_A,1,1,PLAZA,,MC_VILLAGE_PLAZA_01,,,
VLAY_STANDARD_6_A,2,1,PLAZA,,MC_VILLAGE_PLAZA_01,,,
VLAY_STANDARD_6_A,3,1,ENTRY,,MC_VILLAGE_ROAD_01,,R,
VLAY_STANDARD_6_A,0,2,FACILITY_SLOT,FAC_SLOT_01,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_6_A,1,2,FACILITY_SLOT,FAC_SLOT_02,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_6_A,2,2,FACILITY_SLOT,FAC_SLOT_03,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_6_A,3,2,FACILITY_SLOT,FAC_SLOT_04,,POOL_MC_VILLAGE_ROAD,,
VLAY_STANDARD_6_A,0,3,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_6_A,1,3,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_6_A,2,3,FILLER,,MC_FILL_SOLID_01,,,
VLAY_STANDARD_6_A,3,3,FILLER,,MC_FILL_SOLID_01,,,
