prefab_id,asset_address,content_type,expected_component,placeholder_allowed,active,notes
PREFAB_TILE_STARSTONE,WorldGen/Tiles/Gray/Starstone,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_MOON_ROCK,WorldGen/Tiles/Gray/MoonRock,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_CASSIA_WOOD,WorldGen/Tiles/Gray/CassiaWood,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_MILL_METAL,WorldGen/Tiles/Gray/MillMetal,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_DOUGH,WorldGen/Tiles/Gray/Dough,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_SOIL,WorldGen/Tiles/Gray/Soil,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_ONEWAY,WorldGen/Tiles/Gray/OneWay,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_CRACKED,WorldGen/Tiles/Gray/Cracked,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_SOFT_SOIL,WorldGen/Tiles/Gray/SoftSoil,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_DOUGH_WALL,WorldGen/Tiles/Gray/DoughWall,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_SPIKE,WorldGen/Tiles/Gray/Spike,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_HOT_GAS,WorldGen/Tiles/Gray/HotGas,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_WATER,WorldGen/Tiles/Gray/Water,TILE,,1,1,회색박스 단계 주소
PREFAB_TILE_SAP,WorldGen/Tiles/Gray/Sap,TILE,,1,1,회색박스 단계 주소
PREFAB_MC_GRAY,WorldGen/Microchunks/GrayboxShell,MICROCHUNK_VISUAL,MicrochunkVisual,1,1,회색박스 단계 주소
PREFAB_ELEM_FALLING_PESTLE,WorldGen/Elements/FallingPestle,MAP_ELEMENT,MapElementRuntime,1,1,회색박스 단계 주소
PREFAB_ELEM_ROLLING_MOON_ROCK,WorldGen/Elements/RollingMoonRock,MAP_ELEMENT,MapElementRuntime,1,1,회색박스 단계 주소
PREFAB_ELEM_CASSIA_ROOT,WorldGen/Elements/CassiaRoot,MAP_ELEMENT,MapElementRuntime,1,1,회색박스 단계 주소
PREFAB_ELEM_MILL_AXLE,WorldGen/Elements/MillAxle,MAP_ELEMENT,MapElementRuntime,1,1,회색박스 단계 주소
PREFAB_ELEM_DOUGH_PLATFORM,WorldGen/Elements/DoughPlatform,MAP_ELEMENT,MapElementRuntime,1,1,회색박스 단계 주소
PREFAB_ELEM_CHEST,WorldGen/Elements/Chest,MAP_ELEMENT,MapElementRuntime,1,1,회색박스 단계 주소
PREFAB_PICKUP_GENERIC,WorldGen/Pickups/Generic,RESOURCE_PICKUP,PickupRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_PUBLIC_KITCHEN,WorldGen/Village/PublicKitchen,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_TOOL_REPAIR,WorldGen/Village/ToolRepair,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_GENERAL_SHOP,WorldGen/Village/GeneralShop,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_CLINIC,WorldGen/Village/Clinic,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_WATCH_TOWER,WorldGen/Village/WatchTower,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_MAP_OFFICE,WorldGen/Village/MapOffice,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_FUEL_STATION,WorldGen/Village/FuelStation,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_BATTERY_SHOP,WorldGen/Village/BatteryShop,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_TRANSPORT_LIFT,WorldGen/Village/TransportLift,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_MARU_SHELTER,WorldGen/Village/MaruShelter,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_SPECIAL_SHOP,WorldGen/Village/SpecialShop,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_INN,WorldGen/Village/Inn,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_GOLD_STORAGE,WorldGen/Village/GoldStorage,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_FAC_EVACUATED,WorldGen/Village/EvacuatedShell,FACILITY,VillageFacilityRuntime,1,1,회색박스 단계 주소
PREFAB_NPC_RABBIT,WorldGen/NPC/RabbitShopkeeper,NPC,ShopkeeperRuntime,1,1,회색박스 단계 주소
PREFAB_NPC_ALIEN,WorldGen/NPC/AlienShopkeeper,NPC,ShopkeeperRuntime,1,1,회색박스 단계 주소
PREFAB_NPC_ASTRONAUT,WorldGen/NPC/AstronautShopkeeper,NPC,ShopkeeperRuntime,1,1,회색박스 단계 주소
PREFAB_NPC_MACHINE,WorldGen/NPC/MachineShopkeeper,NPC,ShopkeeperRuntime,1,1,회색박스 단계 주소
PREFAB_NPC_STAR_MERCHANT,WorldGen/NPC/StarMerchant,NPC,ShopkeeperRuntime,1,1,회색박스 단계 주소
PREFAB_UI_UNKNOWN,UI/SpecialItems/UnknownSilhouette,UI_SPRITE,,1,1,회색박스 단계 주소
PREFAB_UI_MOON_COMPASS,UI/SpecialItems/MoonCompass,UI_SPRITE,,1,1,회색박스 단계 주소
PREFAB_BAT_MINI,WorldGen/Batteries/Mini,BATTERY_DEVICE,BatteryExplosionRuntime,1,1,회색박스 단계 주소
PREFAB_BAT_AIR,WorldGen/Batteries/AirCannon,BATTERY_DEVICE,BatteryExplosionRuntime,1,1,회색박스 단계 주소
PREFAB_BAT_STANDARD,WorldGen/Batteries/Standard,BATTERY_DEVICE,BatteryExplosionRuntime,1,1,회색박스 단계 주소
PREFAB_BAT_MEGA,WorldGen/Batteries/Mega,BATTERY_DEVICE,BatteryExplosionRuntime,1,1,회색박스 단계 주소
PREFAB_BAT_GRENADE,WorldGen/Batteries/Grenade,BATTERY_DEVICE,BatteryExplosionRuntime,1,1,회색박스 단계 주소
