sector_recipe_id,display_name_ko,route_type,route_mask_id,primary_biome_id,secondary_biome_id,boundary_profile_id,recipe_kind,microchunk_budget_profile_id,selection_weight,supports_special_entry,supports_village_entry,active,notes
SEC_GRAY_T1_STRAIGHT_01,회색박스 타입1 수평,1,ROUTE_T1_LR,,,,GENERAL,BUDGET_SEC_MANDATORY,100,0,0,1,
SEC_GRAY_T2_DROP_01,회색박스 타입2 하강,2,ROUTE_T2_LRD,,,,GENERAL,BUDGET_SEC_MANDATORY,100,0,0,1,
SEC_GRAY_T3_ASCEND_01,회색박스 타입3 상승,3,ROUTE_T3_LRU,,,,GENERAL,BUDGET_SEC_MANDATORY,100,0,0,1,
SEC_GRAY_T0_DEADEND_L_01,회색박스 타입0 왼쪽 막다른 길,0,ROUTE_T0_L,,,,OPTIONAL,BUDGET_SEC_TYPE0,100,0,0,1,
SEC_BOUND_CRATER_ROOT_T1_01,분화구-뿌리숲 경계 타입1,1,ROUTE_T1_LR,BIO_MOON_CRATER,BIO_CASSIA_ROOT,BOUND_SOFT_BLEND,BOUNDARY,BUDGET_SEC_BOUNDARY,100,0,0,1,
SEC_BOUND_CRATER_MILL_T1_01,분화구-방앗간 경계 타입1,1,ROUTE_T1_LR,BIO_MOON_CRATER,BIO_ABANDONED_MILL,BOUND_RUIN,BOUNDARY,BUDGET_SEC_BOUNDARY,100,0,0,1,
SEC_SPECIAL_MOON_CORE_01,월핵 운석 특수 맵,1,ROUTE_T1_LR,BIO_MOON_CRATER,,,SPECIAL,BUDGET_SITE_CORE,100,1,0,1,
SEC_SPECIAL_CASSIA_SAP_01,응축 계수수액 특수 맵,1,ROUTE_T1_LR,BIO_CASSIA_ROOT,,,SPECIAL,BUDGET_SITE_CORE,100,1,0,1,
SEC_SPECIAL_STAR_YEAST_01,심층 별누룩 특수 맵,1,ROUTE_T1_LR,BIO_MOON_DOUGH,,,SPECIAL,BUDGET_SITE_CORE,100,1,0,1,
SEC_SPECIAL_FORGE_01,월궁 인장 제작 시설,1,ROUTE_T1_LR,BIO_ABANDONED_MILL,,,SPECIAL,BUDGET_SITE_CORE,100,1,0,1,
SEC_SPECIAL_BOSS_ENTRY_01,월궁 보스 봉인지 입구,1,ROUTE_T1_LR,BIO_ABANDONED_MILL,,,SPECIAL,BUDGET_SITE_CORE,100,1,0,1,
SEC_SPECIAL_BOSS_ARENA_01,월궁 보스 아레나 회색박스,1,ROUTE_T1_LR,BIO_ABANDONED_MILL,,,SPECIAL,BUDGET_SITE_CORE,100,1,0,1,
