tile_code,layer,semantic,collision_kind,destructible,tile_asset_prefab_id,runtime_tag,debug_glyph,active
NONE,ANY,빈 레이어,NONE,0,,NONE,.,1
G_STARSTONE,GROUND_SOLID,파괴 불가 별돌,SOLID,0,PREFAB_TILE_STARSTONE,STARSTONE,#,1
G_MOON_ROCK,GROUND_SOLID,달 암석,SOLID,0,PREFAB_TILE_MOON_ROCK,MOON_ROCK,#,1
G_CASSIA_WOOD,GROUND_SOLID,계수나무 목질,SOLID,0,PREFAB_TILE_CASSIA_WOOD,CASSIA_WOOD,T,1
G_MILL_METAL,GROUND_SOLID,방앗간 금속,SOLID,0,PREFAB_TILE_MILL_METAL,MILL_METAL,M,1
G_DOUGH_SOLID,GROUND_SOLID,단단한 달반죽,SOLID,0,PREFAB_TILE_DOUGH,DOUGH,D,1
G_SOIL,GROUND_SOLID,일반 흙,SOLID,0,PREFAB_TILE_SOIL,SOIL,S,1
P_ONEWAY,ONE_WAY,일방향 발판,ONE_WAY,0,PREFAB_TILE_ONEWAY,ONEWAY,=,1
B_CRACKED_ROCK,BREAKABLE,금 간 암석,SOLID,1,PREFAB_TILE_CRACKED,CRACKED,%,1
B_SOFT_SOIL,BREAKABLE,부드러운 흙,SOLID,1,PREFAB_TILE_SOFT_SOIL,SOFT_SOIL,s,1
B_DOUGH_WALL,BREAKABLE,부서지는 반죽벽,SOLID,1,PREFAB_TILE_DOUGH_WALL,DOUGH_WALL,d,1
H_SPIKE,HAZARD,가시,DAMAGE,0,PREFAB_TILE_SPIKE,SPIKE,^,1
H_HOT_GAS,HAZARD,뜨거운 가스,DAMAGE,0,PREFAB_TILE_HOT_GAS,HOT_GAS,!,1
L_WATER,LIQUID,물,LIQUID,0,PREFAB_TILE_WATER,WATER,~,1
L_CASSIA_SAP,LIQUID,계수수액,LIQUID,0,PREFAB_TILE_SAP,SAP,q,1
DB_CRATER,DECOR_BACK,분화구 배경,NONE,0,,CRATER_BG,c,1
DB_ROOT,DECOR_BACK,뿌리숲 배경,NONE,0,,ROOT_BG,r,1
DB_MILL,DECOR_BACK,방앗간 배경,NONE,0,,MILL_BG,m,1
DB_DOUGH,DECOR_BACK,달반죽 배경,NONE,0,,DOUGH_BG,o,1
DF_ROOT_VINE,DECOR_FRONT,앞쪽 뿌리,NONE,0,,ROOT_FG,v,1
M_SAFE,MARKER,안전 셀,NONE,0,,SAFE,A,1
M_ROUTE_MAIN,MARKER,필수 경로,NONE,0,,ROUTE_MAIN,*,1
M_ROUTE_OPTIONAL,MARKER,선택 경로,NONE,0,,ROUTE_OPTIONAL,+,1
M_SOCKET,MARKER,소켓 개구부,NONE,0,,SOCKET,O,1
M_SLOT_RESOURCE,MARKER,자원 슬롯,NONE,0,,SLOT_RESOURCE,$,1
M_SLOT_HAZARD,MARKER,위험 슬롯,NONE,0,,SLOT_HAZARD,X,1
M_SLOT_EVENT,MARKER,이벤트 슬롯,NONE,0,,SLOT_EVENT,E,1
M_NO_SPAWN,MARKER,스폰 금지,NONE,0,,NO_SPAWN,-,1
