facility_id,display_name_ko,facility_group,fixed,selection_weight,prefab_id,shop_archetype_id,evacuated_prefab_id,active,notes
FAC_PUBLIC_KITCHEN,공용 부엌,FOOD,1,100,PREFAB_FAC_PUBLIC_KITCHEN,SHOP_FOOD,PREFAB_FAC_EVACUATED,1,
FAC_TOOL_REPAIR,도구 수리점,REPAIR,1,100,PREFAB_FAC_TOOL_REPAIR,SHOP_REPAIR,PREFAB_FAC_EVACUATED,1,
FAC_GENERAL_SHOP,일반 상점,SHOP,0,70,PREFAB_FAC_GENERAL_SHOP,SHOP_GENERAL,PREFAB_FAC_EVACUATED,1,
FAC_CLINIC,진료소,HEAL,0,45,PREFAB_FAC_CLINIC,SHOP_CLINIC,PREFAB_FAC_EVACUATED,1,
FAC_WATCH_TOWER,관측 망루,INFO,0,45,PREFAB_FAC_WATCH_TOWER,SHOP_INFO,PREFAB_FAC_EVACUATED,1,
FAC_MAP_OFFICE,지도소,INFO,0,40,PREFAB_FAC_MAP_OFFICE,SHOP_INFO,PREFAB_FAC_EVACUATED,1,
FAC_FUEL_STATION,연료 충전소,FUEL,0,35,PREFAB_FAC_FUEL_STATION,SHOP_FUEL,PREFAB_FAC_EVACUATED,1,
FAC_BATTERY_SHOP,전지 상점,BATTERY,0,35,PREFAB_FAC_BATTERY_SHOP,SHOP_BATTERY,PREFAB_FAC_EVACUATED,1,
FAC_TRANSPORT_LIFT,운송 승강장,TRANSPORT,0,30,PREFAB_FAC_TRANSPORT_LIFT,,PREFAB_FAC_EVACUATED,1,
FAC_MARU_SHELTER,마루 은신 시설,STEALTH,0,25,PREFAB_FAC_MARU_SHELTER,,PREFAB_FAC_EVACUATED,1,
FAC_SPECIAL_SHOP,특수 아이템 상점,SPECIAL,0,20,PREFAB_FAC_SPECIAL_SHOP,SHOP_SPECIAL,PREFAB_FAC_EVACUATED,1,
FAC_INN,숙소,REST,0,25,PREFAB_FAC_INN,,PREFAB_FAC_EVACUATED,1,
FAC_GOLD_STORAGE,골드 보관소,STORAGE,0,20,PREFAB_FAC_GOLD_STORAGE,,PREFAB_FAC_EVACUATED,1,
