source_file,destination_relative
world_profiles.csv,World/world_profiles.csv
generation_profiles.csv,World/generation_profiles.csv
generation_passes.csv,World/generation_passes.csv
rng_streams.csv,World/rng_streams.csv
content_budget_profiles.csv,World/content_budget_profiles.csv
validation_rules.csv,World/validation_rules.csv
sector_route_masks.csv,Route/sector_route_masks.csv
sector_recipe_catalog.csv,Route/sector_recipe_catalog.csv
sector_recipe_cells.csv,Route/sector_recipe_cells.csv
sector_recipe_paths.csv,Route/sector_recipe_paths.csv
sector_recipe_pool_entries.csv,Route/sector_recipe_pool_entries.csv
sector_external_sockets.csv,Route/sector_external_sockets.csv
edge_signatures.csv,Route/edge_signatures.csv
edge_signature_compatibility.csv,Route/edge_signature_compatibility.csv
socket_band_definitions.csv,Route/socket_band_definitions.csv
biome_types.csv,Biome/biome_types.csv
biome_patch_rules.csv,Biome/biome_patch_rules.csv
biome_boundary_profiles.csv,Boundary/biome_boundary_profiles.csv
biome_boundary_pair_rules.csv,Boundary/biome_boundary_pair_rules.csv
boundary_chunk_catalog.csv,Boundary/boundary_chunk_catalog.csv
special_map_catalog.csv,SpecialMap/special_map_catalog.csv
special_map_footprint_cells.csv,SpecialMap/special_map_footprint_cells.csv
special_map_entry_sockets.csv,SpecialMap/special_map_entry_sockets.csv
special_map_rewards.csv,SpecialMap/special_map_rewards.csv
event_activation_routes.csv,SpecialMap/event_activation_routes.csv
village_profiles.csv,Village/village_profiles.csv
village_layout_catalog.csv,Village/village_layout_catalog.csv
village_layout_cells.csv,Village/village_layout_cells.csv
village_facilities.csv,Village/village_facilities.csv
shop_archetypes.csv,Village/shop_archetypes.csv
shop_inventory_rules.csv,Village/shop_inventory_rules.csv
shopkeeper_species.csv,Village/shopkeeper_species.csv
microchunk_catalog.csv,MicroChunk/microchunk_catalog.csv
microchunk_tile_cells.csv,MicroChunk/microchunk_tile_cells.csv
microchunk_sockets.csv,MicroChunk/microchunk_sockets.csv
microchunk_object_slots.csv,MicroChunk/microchunk_object_slots.csv
microchunk_variant_rules.csv,MicroChunk/microchunk_variant_rules.csv
microchunk_pool_entries.csv,MicroChunk/microchunk_pool_entries.csv
tile_code_dictionary.csv,MicroChunk/tile_code_dictionary.csv
population_profiles.csv,Population/population_profiles.csv
spawn_pool_entries.csv,Population/spawn_pool_entries.csv
map_element_definitions.csv,Population/map_element_definitions.csv
map_element_interactions.csv,Population/map_element_interactions.csv
resource_definitions.csv,Population/resource_definitions.csv
resource_spawn_rules.csv,Population/resource_spawn_rules.csv
battery_profiles.csv,Items/battery_profiles.csv
tool_upgrade_definitions.csv,Items/tool_upgrade_definitions.csv
special_item_slots.csv,Items/special_item_slots.csv
prefab_registry.csv,Items/prefab_registry.csv
